created_at,datetime_local,popularity,status,description,visible_until_utc,title,date_tbd,score,is_open,datetime_tbd,url,announce_date,time_tbd,id,datetime_utc,type,short_title,general_admission,lowest_price_good_deals,visible_listing_count,listing_count,lowest_price,median_price,average_price,highest_price,created_at,method,employee_only,city,popularity,timezone,country,name,num_upcoming_events,has_upcoming_events,postal_code,name_v2,extended_address,score,metro_code,url,id,state,address,slug,display_location,lat,lon,created_at,method,employee_only
2018-02-28T15:00:17,2018-09-15T18:00:00,0.274,normal,,2018-09-16T03:00:00,Texas State Bobcats at South Alabama Jaguars Football,FALSE,0.317,FALSE,FALSE,https://seatgeek.com/texas-state-bobcats-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-09-15-6-pm/4281986,2018-02-28T00:00:00,FALSE,4281986,2018-09-15T23:00:00,ncaa_football,Texas State at South Alabama,NA,20,8,16,20,35,36.625,50,NA,NA,NA,Mobile,0,America/Chicago,US,Ladd Peebles Stadium,7,TRUE,36604,Ladd Peebles Stadium,"Mobile, AL 36604",0.50177634,686,https://seatgeek.com/venues/ladd-peebles-stadium/tickets,3716,AL,1621 Virginia St.,ladd-peebles-stadium,"Mobile, AL",30.6748,-88.0761,NA,NA,NA
2018-04-20T00:47:30,2018-09-16T12:00:00,0.893,normal,,2018-09-16T20:00:00,Houston Texans at Tennessee Titans,FALSE,0.841,FALSE,FALSE,https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993,2018-04-20T00:00:00,FALSE,4346993,2018-09-16T16:00:00,nfl,Texans at Titans,NA,49,577,231,49,113,121.15151,334,2018-08-24T18:23:49Z,QRCODE,FALSE,Nashville,0,America/New_York,US,Nissan Stadium,15,TRUE,37213,Nissan Stadium,"Nashville, TN 37213",0.8546275,659,https://seatgeek.com/venues/nissan-stadium/tickets,1126,TN,1 Titans Way,nissan-stadium,"Nashville, TN",36.1665,-86.7713,2015-10-19T15:09:39Z,NONE,FALSE
2018-04-20T00:47:18,2018-09-16T13:00:00,0.955,normal,,2018-09-16T21:00:00,Indianapolis Colts at Washington Redskins,FALSE,0.941,FALSE,FALSE,https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944,2018-04-20T00:00:00,FALSE,4346944,2018-09-16T17:00:00,nfl,Colts at Redskins,NA,64,804,75,64,143,142.33333,264,2018-08-24T18:23:09Z,QRCODE,FALSE,Landover,0,America/New_York,US,FedEx Field,8,TRUE,20785,FedEx Field,"Landover, MD 20785",0.9333444,511,https://seatgeek.com/venues/fedex-field/tickets,35,MD,1600 Fedex Way,fedex-field,"Landover, MD",38.9071,-76.8658,2015-09-12T14:13:58Z,QRCODE_TM,FALSE
2018-04-20T00:47:42,2018-09-16T13:00:00,0.954,normal,,2018-09-16T21:00:00,Carolina Panthers at Atlanta Falcons,FALSE,0.924,FALSE,FALSE,https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054,2018-04-20T00:00:00,FALSE,4347054,2018-09-16T17:00:00,nfl,Panthers at Falcons,NA,70,865,550,70,155,189.65636,717,2018-08-23T20:14:46Z,QRCODE,FALSE,Atlanta,0,America/New_York,US,Mercedes-Benz Stadium,20,TRUE,30313,Mercedes-Benz Stadium,"Atlanta, GA 30313",0.76958936,0,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,419590,GA,441 M.L.K. Jr Dr NW,mercedes-benz-stadium,"Atlanta, GA",33.76,-84.4,2018-08-23T20:14:46Z,QRCODE,FALSE
2018-04-20T00:47:45,2018-09-16T13:00:00,0.945,normal,,2018-09-16T21:00:00,Kansas City Chiefs at Pittsburgh Steelers,FALSE,0.918,FALSE,FALSE,https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074,2018-04-20T00:00:00,FALSE,4347074,2018-09-16T17:00:00,nfl,Chiefs at Steelers,NA,107,283,110,111,253,260.78183,549,2018-08-24T18:24:29Z,QRCODE,FALSE,Pittsburgh,0,America/New_York,US,Heinz Field,12,TRUE,15212,Heinz Field,"Pittsburgh, PA 15212",0.9033526,508,https://seatgeek.com/venues/heinz-field/tickets,1119,PA,100 Art Rooney Avenue,heinz-field,"Pittsburgh, PA",40.4468,-80.0158,2015-12-08T15:36:23Z,QRCODE_TM,FALSE
2018-04-20T00:47:16,2018-09-16T13:00:00,0.928,normal,,2018-09-16T21:00:00,Philadelphia Eagles at Tampa Bay Buccaneers,FALSE,0.879,FALSE,FALSE,https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933,2018-04-20T00:00:00,FALSE,4346933,2018-09-16T17:00:00,nfl,Eagles at Buccaneers,NA,150,587,22,150,292,320.5,558,2018-08-24T17:04:19Z,QRCODE,FALSE,Tampa,0,America/New_York,US,Raymond James Stadium,15,TRUE,33607,Raymond James Stadium,"Tampa, FL 33607",0.86513025,539,https://seatgeek.com/venues/raymond-james-stadium/tickets,39,FL,4201 North Dale Mabry Highway,raymond-james-stadium,"Tampa, FL",27.9753,-82.5034,2015-08-24T14:44:53Z,QRCODE_TM,FALSE
2018-04-20T00:47:25,2018-09-16T12:00:00,0.902,normal,,2018-09-16T21:00:00,Cleveland Browns at New Orleans Saints,FALSE,0.872,TRUE,FALSE,https://seatgeek.com/browns-at-saints-tickets/9-16-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346973,2018-04-20T00:00:00,FALSE,4346973,2018-09-16T17:00:00,nfl,Browns at Saints,NA,46,1207,1313,46,156,173.97792,1800,2018-05-29T20:38:49Z,QRCODE,FALSE,New Orleans,0,America/Chicago,US,Mercedes-Benz Superdome,18,TRUE,70112,Mercedes-Benz Superdome,"New Orleans, LA 70112",0.8966978,622,https://seatgeek.com/venues/mercedes-benz-superdome/tickets,128,LA,1500 Sugar Bowl Drive,mercedes-benz-superdome,"New Orleans, LA",29.9515,-90.0786,2018-08-27T20:46:59Z,QRCODE_TM,FALSE
2018-04-20T00:47:44,2018-09-16T13:00:00,0.927,normal,,2018-09-16T21:00:00,Los Angeles Chargers at Buffalo Bills,FALSE,0.894,FALSE,FALSE,https://seatgeek.com/chargers-at-bills-tickets/9-16-2018-orchard-park-new-york-new-era-field/nfl/4347064,2018-04-20T00:00:00,FALSE,4347064,2018-09-16T17:00:00,nfl,Chargers at Bills,NA,101,369,142,103,170,187.01408,464,2018-08-24T18:24:17Z,QRCODE,FALSE,Orchard Park,0,America/New_York,US,New Era Field,8,TRUE,14127,New Era Field,"Orchard Park, NY 14127",0.8815085,514,https://seatgeek.com/venues/new-era-field/tickets,1135,NY,1 Bills Drive,new-era-field,"Orchard Park, NY",42.7737,-78.7874,2015-08-12T16:52:53Z,QRCODE_TM,FALSE
2018-04-20T00:47:20,2018-09-16T13:00:00,0.977,normal,,2018-09-16T21:00:00,Miami Dolphins at New York Jets,FALSE,0.936,FALSE,FALSE,https://seatgeek.com/dolphins-at-jets-tickets/9-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346953,2018-04-20T00:00:00,FALSE,4346953,2018-09-16T17:00:00,nfl,Dolphins at Jets,NA,88,550,192,89,140,241.15105,11943,2018-08-24T18:23:39Z,QRCODE,FALSE,East Rutherford,0,America/New_York,US,MetLife Stadium,18,TRUE,07073,MetLife Stadium,"East Rutherford, NJ 07073",0.94873494,501,https://seatgeek.com/venues/metlife-stadium/tickets,1587,NJ,1 MetLife Stadium Drive,metlife-stadium,"East Rutherford, NJ",40.8142,-74.0737,2015-09-12T14:14:07Z,QRCODE_TM,FALSE
2018-04-20T00:47:14,2018-09-16T12:00:00,0.943,normal,,2018-09-16T21:00:00,Minnesota Vikings at Green Bay Packers,FALSE,0.944,FALSE,FALSE,https://seatgeek.com/vikings-at-packers-tickets/9-16-2018-green-bay-wisconsin-lambeau-field/nfl/4346915,2018-04-20T00:00:00,FALSE,4346915,2018-09-16T17:00:00,nfl,Vikings at Packers,NA,159,348,115,236,395,417.43478,818,2018-08-24T17:03:48Z,QRCODE,FALSE,Green Bay,0,America/Chicago,US,Lambeau Field,7,TRUE,54304,Lambeau Field,"Green Bay, WI 54304",0.92909414,658,https://seatgeek.com/venues/lambeau-field/tickets,1125,WI,1265 Lombardi Avenue,lambeau-field,"Green Bay, WI",44.5013,-88.0622,2015-09-02T22:43:34Z,QRCODE_TM,FALSE
