description,time_tbd,title,id,type,is_open,datetime_utc,score,visible_until_utc,created_at,announce_date,short_title,url,datetime_local,status,popularity,datetime_tbd,date_tbd,general_admission,lowest_price_good_deals,highest_price,median_price,visible_listing_count,listing_count,average_price,lowest_price,method,employee_only,created_at,num_upcoming_events,name_v2,id,postal_code,country,score,timezone,has_upcoming_events,slug,url,address,extended_address,name,city,display_location,popularity,state,metro_code,lat,lon,method,employee_only,created_at
,FALSE,Texas State Bobcats at South Alabama Jaguars Football,4281986,ncaa_football,FALSE,2018-09-15T23:00:00,0.317,2018-09-16T03:00:00,2018-02-28T15:00:17,2018-02-28T00:00:00,Texas State at South Alabama,https://seatgeek.com/texas-state-bobcats-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-09-15-6-pm/4281986,2018-09-15T18:00:00,normal,0,FALSE,FALSE,NA,35,154,51,5,8,72.125,35,NA,NA,NA,7,Ladd Peebles Stadium,3716,36604,US,0.50177634,America/Chicago,TRUE,ladd-peebles-stadium,https://seatgeek.com/venues/ladd-peebles-stadium/tickets,1621 Virginia St.,"Mobile, AL 36604",Ladd Peebles Stadium,Mobile,"Mobile, AL",0,AL,686,30.6748,-88.0761,NA,NA,NA
,FALSE,Houston Texans at Tennessee Titans,4346993,nfl,FALSE,2018-09-16T16:00:00,0.87,2018-09-16T20:00:00,2018-04-20T00:47:30,2018-04-20T00:00:00,Texans at Titans,https://seatgeek.com/texans-at-titans-tickets/9-16-2018-nashville-tennessee-nissan-stadium/nfl/4346993,2018-09-16T12:00:00,normal,0.737,FALSE,FALSE,NA,30,252,110,609,163,112.877304,43,QRCODE,FALSE,2018-08-24T18:23:49Z,15,Nissan Stadium,1126,37213,US,0.8546275,America/New_York,TRUE,nissan-stadium,https://seatgeek.com/venues/nissan-stadium/tickets,1 Titans Way,"Nashville, TN 37213",Nissan Stadium,Nashville,"Nashville, TN",0,TN,659,36.1665,-86.7713,NONE,FALSE,2015-10-19T15:09:39Z
,FALSE,Indianapolis Colts at Washington Redskins,4346944,nfl,FALSE,2018-09-16T17:00:00,0.967,2018-09-16T21:00:00,2018-04-20T00:47:18,2018-04-20T00:00:00,Colts at Redskins,https://seatgeek.com/colts-at-redskins-tickets/9-16-2018-landover-maryland-fedex-field/nfl/4346944,2018-09-16T13:00:00,normal,0.814,FALSE,FALSE,NA,62,204,129,744,50,134.6,77,QRCODE,FALSE,2018-08-24T18:23:09Z,8,FedEx Field,35,20785,US,0.9333444,America/New_York,TRUE,fedex-field,https://seatgeek.com/venues/fedex-field/tickets,1600 Fedex Way,"Landover, MD 20785",FedEx Field,Landover,"Landover, MD",0,MD,511,38.9071,-76.8658,QRCODE_TM,FALSE,2015-09-12T14:13:58Z
,FALSE,Carolina Panthers at Atlanta Falcons,4347054,nfl,FALSE,2018-09-16T17:00:00,0.953,2018-09-16T21:00:00,2018-04-20T00:47:42,2018-04-20T00:00:00,Panthers at Falcons,https://seatgeek.com/panthers-at-falcons-tickets/9-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347054,2018-09-16T13:00:00,normal,0.801,FALSE,FALSE,NA,69,690,158,1084,461,184.1063,74,QRCODE,FALSE,2018-08-23T20:14:46Z,20,Mercedes-Benz Stadium,419590,30313,US,0.76958936,America/New_York,TRUE,mercedes-benz-stadium,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,35 Northside Dr NW,"Atlanta, GA 30313",Mercedes-Benz Stadium,Atlanta,"Atlanta, GA",0,GA,0,33.76,-84.4,QRCODE,FALSE,2018-08-23T20:14:46Z
,FALSE,Kansas City Chiefs at Pittsburgh Steelers,4347074,nfl,FALSE,2018-09-16T17:00:00,0.933,2018-09-16T21:00:00,2018-04-20T00:47:45,2018-04-20T00:00:00,Chiefs at Steelers,https://seatgeek.com/chiefs-at-steelers-tickets/9-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347074,2018-09-16T13:00:00,normal,0.786,FALSE,FALSE,NA,138,873,NA,NA,168,280.56,117,QRCODE,FALSE,2018-08-24T18:24:29Z,12,Heinz Field,1119,15212,US,0.9033526,America/New_York,TRUE,heinz-field,https://seatgeek.com/venues/heinz-field/tickets,100 Art Rooney Avenue,"Pittsburgh, PA 15212",Heinz Field,Pittsburgh,"Pittsburgh, PA",0,PA,508,40.4468,-80.0158,QRCODE_TM,FALSE,2015-12-08T15:36:23Z
,FALSE,Philadelphia Eagles at Tampa Bay Buccaneers,4346933,nfl,FALSE,2018-09-16T17:00:00,0.91,2018-09-16T21:00:00,2018-04-20T00:47:16,2018-04-20T00:00:00,Eagles at Buccaneers,https://seatgeek.com/eagles-at-buccaneers-tickets/9-16-2018-tampa-florida-raymond-james-stadium/nfl/4346933,2018-09-16T13:00:00,normal,0.767,FALSE,FALSE,NA,135,525,293,1136,24,296.66666,137,QRCODE,FALSE,2018-08-24T17:04:19Z,15,Raymond James Stadium,39,33607,US,0.86513025,America/New_York,TRUE,raymond-james-stadium,https://seatgeek.com/venues/raymond-james-stadium/tickets,4201 North Dale Mabry Highway,"Tampa, FL 33607",Raymond James Stadium,Tampa,"Tampa, FL",0,FL,539,27.9753,-82.5034,QRCODE_TM,FALSE,2015-08-24T14:44:53Z
,FALSE,Cleveland Browns at New Orleans Saints,4346973,nfl,TRUE,2018-09-16T17:00:00,0.899,2018-09-16T21:00:00,2018-04-20T00:47:25,2018-04-20T00:00:00,Browns at Saints,https://seatgeek.com/browns-at-saints-tickets/9-16-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346973,2018-09-16T12:00:00,normal,0.763,FALSE,FALSE,NA,47,900,156,1044,1158,168.62608,47,QRCODE,FALSE,2018-05-29T20:38:49Z,18,Mercedes-Benz Superdome,128,70112,US,0.8966978,America/Chicago,TRUE,mercedes-benz-superdome,https://seatgeek.com/venues/mercedes-benz-superdome/tickets,1500 Sugar Bowl Drive,"New Orleans, LA 70112",Mercedes-Benz Superdome,New Orleans,"New Orleans, LA",0,LA,622,29.9515,-90.0786,QRCODE_TM,FALSE,2018-08-27T20:46:59Z
,FALSE,Los Angeles Chargers at Buffalo Bills,4347064,nfl,FALSE,2018-09-16T17:00:00,0.914,2018-09-16T21:00:00,2018-04-20T00:47:44,2018-04-20T00:00:00,Chargers at Bills,https://seatgeek.com/chargers-at-bills-tickets/9-16-2018-orchard-park-new-york-new-era-field/nfl/4347064,2018-09-16T13:00:00,normal,0.772,FALSE,FALSE,NA,89,377,163,473,138,177.47101,107,QRCODE,FALSE,2018-08-24T18:24:17Z,8,New Era Field,1135,14127,US,0.8815085,America/New_York,TRUE,new-era-field,https://seatgeek.com/venues/new-era-field/tickets,1 Bills Drive,"Orchard Park, NY 14127",New Era Field,Orchard Park,"Orchard Park, NY",0,NY,514,42.7737,-78.7874,QRCODE_TM,FALSE,2015-08-12T16:52:53Z
,FALSE,Miami Dolphins at New York Jets,4346953,nfl,FALSE,2018-09-16T17:00:00,0.975,2018-09-16T21:00:00,2018-04-20T00:47:20,2018-04-20T00:00:00,Dolphins at Jets,https://seatgeek.com/dolphins-at-jets-tickets/9-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346953,2018-09-16T13:00:00,normal,0.816,FALSE,FALSE,NA,84,11943,154,431,127,301.7953,84,QRCODE,FALSE,2018-08-24T18:23:39Z,18,MetLife Stadium,1587,07073,US,0.94873494,America/New_York,TRUE,metlife-stadium,https://seatgeek.com/venues/metlife-stadium/tickets,1 MetLife Stadium Drive,"East Rutherford, NJ 07073",MetLife Stadium,East Rutherford,"East Rutherford, NJ",0,NJ,501,40.8142,-74.0737,QRCODE_TM,FALSE,2015-09-12T14:14:07Z
,FALSE,Minnesota Vikings at Green Bay Packers,4346915,nfl,FALSE,2018-09-16T17:00:00,0.959,2018-09-16T21:00:00,2018-04-20T00:47:14,2018-04-20T00:00:00,Vikings at Packers,https://seatgeek.com/vikings-at-packers-tickets/9-16-2018-green-bay-wisconsin-lambeau-field/nfl/4346915,2018-09-16T12:00:00,normal,0.809,FALSE,FALSE,NA,169,817,388,268,89,402.38202,264,QRCODE,FALSE,2018-08-24T17:03:48Z,7,Lambeau Field,1125,54304,US,0.92909414,America/Chicago,TRUE,lambeau-field,https://seatgeek.com/venues/lambeau-field/tickets,1265 Lombardi Avenue,"Green Bay, WI 54304",Lambeau Field,Green Bay,"Green Bay, WI",0,WI,658,44.5013,-88.0622,QRCODE_TM,FALSE,2015-09-02T22:43:34Z
