time_tbd,date_tbd,datetime_tbd,short_title,description,popularity,status,type,announce_date,title,score,created_at,is_open,id,url,visible_until_utc,datetime_utc,datetime_local,general_admission,visible_listing_count,median_price,lowest_price_good_deals,average_price,highest_price,listing_count,lowest_price,created_at,employee_only,method,slug,popularity,postal_code,country,address,name,state,display_location,metro_code,timezone,score,has_upcoming_events,id,url,name_v2,extended_address,num_upcoming_events,city,lat,lon,created_at,employee_only,method
FALSE,FALSE,FALSE,Seahawks at Bears,,0.794,normal,nfl,2018-04-20T00:00:00,Seattle Seahawks at Chicago Bears,0.946,2018-04-20T00:47:34,FALSE,4347010,https://seatgeek.com/seahawks-at-bears-tickets/9-17-2018-chicago-illinois-soldier-field/nfl/4347010,2018-09-18T04:15:00,2018-09-18T00:15:00,2018-09-17T19:15:00,NA,236,346,154,416.54166,1202,24,192,2018-08-24T18:25:05Z,FALSE,QRCODE,soldier-field,0,60605,US,1410 S. Museum Campus Drive,Soldier Field,IL,"Chicago, IL",602,America/Chicago,0.940013,TRUE,31,https://seatgeek.com/venues/soldier-field/tickets,Soldier Field,"Chicago, IL 60605",11,Chicago,41.8623,-87.6159,2018-06-02T00:44:08Z,FALSE,NONE
FALSE,FALSE,FALSE,Jets at Browns,,0.944,normal,nfl,2018-04-20T00:00:00,New York Jets at Cleveland Browns,0.88,2018-04-20T00:47:31,FALSE,4347000,https://seatgeek.com/jets-at-browns-tickets/9-20-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347000,2018-09-21T04:20:00,2018-09-21T00:20:00,2018-09-20T20:20:00,NA,723,83,45,100.002426,596,412,51,2018-08-24T18:25:16Z,FALSE,QRCODE,firstenergy-stadium-15,0,44114,US,100 Alfred Lerner Way,FirstEnergy Stadium,OH,"Cleveland, OH",510,America/New_York,0.86852187,TRUE,1123,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,FirstEnergy Stadium,"Cleveland, OH 44114",7,Cleveland,41.5065,-81.7,2015-11-11T20:55:31Z,FALSE,NONE
FALSE,FALSE,FALSE,South Alabama at Memphis,,0.681,normal,ncaa_football,2018-01-31T00:00:00,South Alabama Jaguars at Memphis Tigers Football,0.509,2018-01-31T15:00:53,FALSE,4241762,https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762,2018-09-23T04:00:00,2018-09-23T00:00:00,2018-09-22T19:00:00,NA,75,44,23,59.49359,245,156,23,NA,NA,NA,liberty-bowl-stadium,0,38104,US,335 South Hollywood St.,Liberty Bowl Stadium,TN,"Memphis, TN",640,America/Chicago,0.6733288,TRUE,2827,https://seatgeek.com/venues/liberty-bowl-stadium/tickets,Liberty Bowl Stadium,"Memphis, TN 38104",6,Memphis,35.12,-89.98,NA,NA,NA
FALSE,FALSE,FALSE,Colts at Eagles,,0.971,normal,nfl,2018-04-20T00:00:00,Indianapolis Colts at Philadelphia Eagles,0.937,2018-04-20T00:47:23,FALSE,4346963,https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963,2018-09-23T21:00:00,2018-09-23T17:00:00,2018-09-23T13:00:00,NA,633,344,174,383.21075,1188,223,206,2018-08-24T18:26:28Z,FALSE,QRCODE,lincoln-financial-field,0,19148,US,1020 Pattison Ave,Lincoln Financial Field,PA,"Philadelphia, PA",504,America/New_York,0.90542685999999994,TRUE,330,https://seatgeek.com/venues/lincoln-financial-field/tickets,Lincoln Financial Field,"Philadelphia, PA 19148",16,Philadelphia,39.9046,-75.1675,2015-07-10T00:00:00Z,FALSE,QRCODE_TM
FALSE,FALSE,FALSE,Bills at Vikings,,0.956,normal,nfl,2018-04-20T00:00:00,Buffalo Bills at Minnesota Vikings,0.916,2018-04-20T01:04:05,FALSE,4347142,https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142,2018-09-23T21:00:00,2018-09-23T17:00:00,2018-09-23T12:00:00,NA,661,219,101,246.89066,948,439,98,2018-08-23T16:03:24Z,FALSE,QRCODE,u-s-bank-stadium,0,55415,US,401 Chicago Avenue,U.S. Bank Stadium,MN,"Minneapolis, MN",0,America/Chicago,0.88524246,TRUE,218451,https://seatgeek.com/venues/u-s-bank-stadium/tickets,U.S. Bank Stadium,"Minneapolis, MN 55415",13,Minneapolis,44.97,-93.26,2018-08-22T15:34:15Z,FALSE,NONE
FALSE,FALSE,FALSE,Raiders at Dolphins,,0.946,normal,nfl,2018-04-20T00:00:00,Oakland Raiders at Miami Dolphins,0.894,2018-04-20T00:47:48,FALSE,4347088,https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088,2018-09-23T21:00:00,2018-09-23T17:00:00,2018-09-23T13:00:00,NA,821,157,55,159.02222,334,135,59,2018-08-24T20:34:12Z,FALSE,QRCODE,hard-rock-stadium,0,33056,US,347 Don Shula Dr.,Hard Rock Stadium,FL,"Miami Gardens, FL",528,America/New_York,0.8378203,TRUE,29,https://seatgeek.com/venues/hard-rock-stadium/tickets,Hard Rock Stadium,"Miami Gardens, FL 33056",38,Miami Gardens,25.96,-80.24,2017-10-03T18:58:44Z,FALSE,NONE
FALSE,FALSE,FALSE,Packers at Redskins,,1.009,normal,nfl,2018-04-20T00:00:00,Green Bay Packers at Washington Redskins,0.986,2018-04-20T00:47:18,FALSE,4346943,https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943,2018-09-23T21:00:00,2018-09-23T17:00:00,2018-09-23T13:00:00,NA,951,305,132,308.48203,678,139,150,2018-08-24T18:25:58Z,FALSE,QRCODE,fedex-field,0,20785,US,1600 Fedex Way,FedEx Field,MD,"Landover, MD",511,America/New_York,0.9333444,TRUE,35,https://seatgeek.com/venues/fedex-field/tickets,FedEx Field,"Landover, MD 20785",7,Landover,38.9071,-76.8658,2015-09-12T14:13:58Z,FALSE,QRCODE_TM
FALSE,FALSE,FALSE,49ers at Chiefs,,0.952,normal,nfl,2018-04-20T00:00:00,San Francisco 49ers at Kansas City Chiefs,0.911,2018-04-20T00:47:28,FALSE,4346985,https://seatgeek.com/49ers-at-chiefs-tickets/9-23-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346985,2018-09-23T21:00:00,2018-09-23T17:00:00,2018-09-23T12:00:00,NA,978,191,74,196.32489,658,908,74,2018-08-24T18:27:03Z,FALSE,QRCODE,arrowhead-stadium,0,64129,US,1 Arrowhead Drive,Arrowhead Stadium,MO,"Kansas City, MO",616,America/Chicago,0.8827867,TRUE,1128,https://seatgeek.com/venues/arrowhead-stadium/tickets,Arrowhead Stadium,"Kansas City, MO 64129",9,Kansas City,39.0489,-94.4839,2015-08-20T16:20:51Z,FALSE,QRCODE_TM
FALSE,FALSE,FALSE,Bengals at Panthers,,0.946,normal,nfl,2018-04-20T00:00:00,Cincinnati Bengals at Carolina Panthers,0.902,2018-04-20T00:47:41,FALSE,4347045,https://seatgeek.com/bengals-at-panthers-tickets/9-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347045,2018-09-23T21:00:00,2018-09-23T17:00:00,2018-09-23T13:00:00,NA,675,112,75,160.42651,655,347,72,2018-08-24T18:28:54Z,FALSE,QRCODE,bank-of-america-stadium,0,28202,US,800 South Mint Street,Bank of America Stadium,NC,"Charlotte, NC",517,America/New_York,0.8968222,TRUE,1122,https://seatgeek.com/venues/bank-of-america-stadium/tickets,Bank of America Stadium,"Charlotte, NC 28202",9,Charlotte,35.2243,-80.8524,2015-09-25T18:23:51Z,FALSE,QRCODE_TM
FALSE,FALSE,FALSE,Broncos at Ravens,,0.938,normal,nfl,2018-04-20T00:00:00,Denver Broncos at Baltimore Ravens,0.893,2018-04-20T00:47:45,FALSE,4347072,https://seatgeek.com/broncos-at-ravens-tickets/9-23-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347072,2018-09-23T21:00:00,2018-09-23T17:00:00,2018-09-23T13:00:00,NA,729,102,60,128.58603,511,372,60,2018-08-24T18:29:20Z,FALSE,QRCODE,m-t-bank-stadium,0,21230,US,1101 Russell St,M&T Bank Stadium,MD,"Baltimore, MD",512,America/New_York,0.8927189,TRUE,1121,https://seatgeek.com/venues/m-t-bank-stadium/tickets,M&T Bank Stadium,"Baltimore, MD 21230",8,Baltimore,39.2774,-76.623,2015-08-04T00:00:00Z,FALSE,QRCODE_TM
