short_title,url,id,time_tbd,date_tbd,datetime_tbd,title,score,type,datetime_local,datetime_utc,description,status,popularity,is_open,announce_date,created_at,visible_until_utc,general_admission,average_price,lowest_price,highest_price,listing_count,lowest_price_good_deals,median_price,visible_listing_count,created_at,method,employee_only,url,id,postal_code,has_upcoming_events,extended_address,timezone,score,name,name_v2,state,slug,address,popularity,country,num_upcoming_events,metro_code,city,display_location,lon,lat,created_at,method,employee_only
Jets at Browns,https://seatgeek.com/jets-at-browns-tickets/9-20-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347000,4347000,FALSE,FALSE,FALSE,New York Jets at Cleveland Browns,0.885,nfl,2018-09-20T20:20:00,2018-09-21T00:20:00,,normal,0.92,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:31,2018-09-21T04:20:00,NA,97.2619,49,559,378,49,78,667,2018-08-24T18:25:16Z,QRCODE,FALSE,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,1123,44114,TRUE,"Cleveland, OH 44114",America/New_York,0.86852187,FirstEnergy Stadium,FirstEnergy Stadium,OH,firstenergy-stadium-15,100 Alfred Lerner Way,0,US,7,510,Cleveland,"Cleveland, OH",-81.7,41.5065,2015-11-11T20:55:31Z,NONE,FALSE
South Alabama at Memphis,https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762,4241762,FALSE,FALSE,FALSE,South Alabama Jaguars at Memphis Tigers Football,0.496,ncaa_football,2018-09-22T19:00:00,2018-09-23T00:00:00,,normal,0.647,FALSE,2018-01-31T00:00:00,2018-01-31T15:00:53,2018-09-23T04:00:00,NA,59.166668,23,245,90,23,42,29,NA,NA,NA,https://seatgeek.com/venues/liberty-bowl-stadium/tickets,2827,38104,TRUE,"Memphis, TN 38104",America/Chicago,0.6733288,Liberty Bowl Stadium,Liberty Bowl Stadium,TN,liberty-bowl-stadium,335 South Hollywood St,0,US,6,640,Memphis,"Memphis, TN",-89.98,35.12,NA,NA,NA
Colts at Eagles,https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963,4346963,FALSE,FALSE,FALSE,Indianapolis Colts at Philadelphia Eagles,0.94,nfl,2018-09-23T13:00:00,2018-09-23T17:00:00,,normal,0.95,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:23,2018-09-23T21:00:00,NA,340.92642,163,959,231,167,310,666,2018-08-24T18:26:28Z,QRCODE,FALSE,https://seatgeek.com/venues/lincoln-financial-field/tickets,330,19148,TRUE,"Philadelphia, PA 19148",America/New_York,0.90542685999999994,Lincoln Financial Field,Lincoln Financial Field,PA,lincoln-financial-field,1020 Pattison Ave,0,US,16,504,Philadelphia,"Philadelphia, PA",-75.1675,39.9046,2015-07-10T00:00:00Z,QRCODE_TM,FALSE
Bills at Vikings,https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142,4347142,FALSE,FALSE,FALSE,Buffalo Bills at Minnesota Vikings,0.924,nfl,2018-09-23T12:00:00,2018-09-23T17:00:00,,normal,0.938,FALSE,2018-04-20T00:00:00,2018-04-20T01:04:05,2018-09-23T21:00:00,NA,239.95227,98,938,440,90,209,663,2018-08-23T16:03:24Z,QRCODE,FALSE,https://seatgeek.com/venues/u-s-bank-stadium/tickets,218451,55415,TRUE,"Minneapolis, MN 55415",America/Chicago,0.88524246,U.S. Bank Stadium,U.S. Bank Stadium,MN,u-s-bank-stadium,401 Chicago Avenue,0,US,13,0,Minneapolis,"Minneapolis, MN",-93.26,44.97,2018-08-22T15:34:15Z,NONE,FALSE
Raiders at Dolphins,https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088,4347088,FALSE,FALSE,FALSE,Oakland Raiders at Miami Dolphins,0.909,nfl,2018-09-23T13:00:00,2018-09-23T17:00:00,,normal,0.933,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:48,2018-09-23T21:00:00,NA,161.8091,63,399,110,59,153,808,2018-08-24T20:34:12Z,QRCODE,FALSE,https://seatgeek.com/venues/hard-rock-stadium/tickets,29,33056,TRUE,"Miami Gardens, FL 33056",America/New_York,0.8378203,Hard Rock Stadium,Hard Rock Stadium,FL,hard-rock-stadium,347 Don Shula Dr.,0,US,38,528,Miami Gardens,"Miami Gardens, FL",-80.24,25.96,2017-10-03T18:58:44Z,NONE,FALSE
Packers at Redskins,https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943,4346943,FALSE,FALSE,FALSE,Green Bay Packers at Washington Redskins,0.991,nfl,2018-09-23T13:00:00,2018-09-23T17:00:00,,normal,0.985,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:18,2018-09-23T21:00:00,NA,248,126,677,128,122,239,839,2018-08-24T18:25:58Z,QRCODE,FALSE,https://seatgeek.com/venues/fedex-field/tickets,35,20785,TRUE,"Landover, MD 20785",America/New_York,0.9333444,FedEx Field,FedEx Field,MD,fedex-field,1600 Fedex Way,0,US,7,511,Landover,"Landover, MD",-76.8658,38.9071,2015-09-12T14:13:58Z,QRCODE_TM,FALSE
Giants at Texans,https://seatgeek.com/giants-at-texans-tickets/9-23-2018-houston-texas-nrg-stadium/nfl/4347021,4347021,FALSE,FALSE,FALSE,New York Giants at Houston Texans,0.932,nfl,2018-09-23T12:00:00,2018-09-23T17:00:00,,normal,0.945,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:36,2018-09-23T21:00:00,NA,240.40384,102,1116,312,102,211,586,2018-08-24T18:27:18Z,QRCODE,FALSE,https://seatgeek.com/venues/nrg-stadium/tickets,41,77054,TRUE,"Houston, TX 77054",America/Chicago,0.8624192,NRG Stadium,NRG Stadium,TX,nrg-stadium,1 Reliant Park,0,US,44,618,Houston,"Houston, TX",-95.4107,29.6847,2015-11-04T18:42:27Z,QRCODE_TM,FALSE
49ers at Chiefs,https://seatgeek.com/49ers-at-chiefs-tickets/9-23-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346985,4346985,FALSE,FALSE,FALSE,San Francisco 49ers at Kansas City Chiefs,0.926,nfl,2018-09-23T12:00:00,2018-09-23T17:00:00,,normal,0.939,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:28,2018-09-23T21:00:00,NA,192.1684,83,660,867,74,181,951,2018-08-24T18:27:03Z,QRCODE,FALSE,https://seatgeek.com/venues/arrowhead-stadium/tickets,1128,64129,TRUE,"Kansas City, MO 64129",America/Chicago,0.8827867,Arrowhead Stadium,Arrowhead Stadium,MO,arrowhead-stadium,1 Arrowhead Drive,0,US,9,616,Kansas City,"Kansas City, MO",-94.4839,39.0489,2015-08-20T16:20:51Z,QRCODE_TM,FALSE
Broncos at Ravens,https://seatgeek.com/broncos-at-ravens-tickets/9-23-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347072,4347072,FALSE,FALSE,FALSE,Denver Broncos at Baltimore Ravens,0.896,nfl,2018-09-23T13:00:00,2018-09-23T17:00:00,,normal,0.917,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:45,2018-09-23T21:00:00,NA,112.25381,55,477,394,55,92,707,2018-08-24T18:29:20Z,QRCODE,FALSE,https://seatgeek.com/venues/m-t-bank-stadium/tickets,1121,21230,TRUE,"Baltimore, MD 21230",America/New_York,0.8927189,M&T Bank Stadium,M&T Bank Stadium,MD,m-t-bank-stadium,1101 Russell St,0,US,8,512,Baltimore,"Baltimore, MD",-76.623,39.2774,2015-08-04T00:00:00Z,QRCODE_TM,FALSE
Bengals at Panthers,https://seatgeek.com/bengals-at-panthers-tickets/9-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347045,4347045,FALSE,FALSE,FALSE,Cincinnati Bengals at Carolina Panthers,0.909,nfl,2018-09-23T13:00:00,2018-09-23T17:00:00,,normal,0.927,FALSE,2018-04-20T00:00:00,2018-04-20T00:47:41,2018-09-23T21:00:00,NA,152.39058,70,684,297,70,109,627,2018-08-24T18:28:54Z,QRCODE,FALSE,https://seatgeek.com/venues/bank-of-america-stadium/tickets,1122,28202,TRUE,"Charlotte, NC 28202",America/New_York,0.8968222,Bank of America Stadium,Bank of America Stadium,NC,bank-of-america-stadium,800 South Mint Street,0,US,9,517,Charlotte,"Charlotte, NC",-80.8524,35.2243,2015-09-25T18:23:51Z,QRCODE_TM,FALSE
