description,time_tbd,id,visible_until_utc,announce_date,datetime_utc,short_title,created_at,status,datetime_local,popularity,type,date_tbd,title,score,datetime_tbd,url,is_open,general_admission,listing_count,median_price,visible_listing_count,highest_price,lowest_price,average_price,lowest_price_good_deals,created_at,employee_only,method,id,has_upcoming_events,country,state,metro_code,slug,score,display_location,extended_address,popularity,postal_code,city,timezone,num_upcoming_events,name_v2,name,url,address,lat,lon,created_at,employee_only,method
,FALSE,4241762,2018-09-23T04:00:00,2018-01-31T00:00:00,2018-09-23T00:00:00,South Alabama at Memphis,2018-01-31T15:00:53,normal,2018-09-22T19:00:00,0.464,ncaa_football,FALSE,South Alabama Jaguars at Memphis Tigers Football,0.505,FALSE,https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762,FALSE,NA,43,48,16,85,29,52.76744,29,NA,NA,NA,2827,TRUE,US,TN,640,liberty-bowl-stadium,0.6733288,"Memphis, TN","Memphis, TN 38104",0,38104,Memphis,America/Chicago,6,Liberty Bowl Stadium,Liberty Bowl Stadium,https://seatgeek.com/venues/liberty-bowl-stadium/tickets,335 South Hollywood St.,35.12,-89.98,NA,NA,NA
,FALSE,4347088,2018-09-23T21:00:00,2018-04-20T00:00:00,2018-09-23T17:00:00,Raiders at Dolphins,2018-04-20T00:47:48,normal,2018-09-23T13:00:00,0.758,nfl,FALSE,Oakland Raiders at Miami Dolphins,0.899,FALSE,https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088,FALSE,NA,93,135,577,1184,63,148.49463,59,2018-08-24T20:34:12Z,FALSE,QRCODE,29,TRUE,US,FL,528,hard-rock-stadium,0.8378203,"Miami Gardens, FL","Miami Gardens, FL 33056",0,33056,Miami Gardens,America/New_York,38,Hard Rock Stadium,Hard Rock Stadium,https://seatgeek.com/venues/hard-rock-stadium/tickets,347 Don Shula Dr.,25.96,-80.24,2017-10-03T18:58:44Z,FALSE,NONE
,FALSE,4347142,2018-09-23T21:00:00,2018-04-20T00:00:00,2018-09-23T17:00:00,Bills at Vikings,2018-04-20T01:04:05,normal,2018-09-23T12:00:00,0.77,nfl,FALSE,Buffalo Bills at Minnesota Vikings,0.914,FALSE,https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142,FALSE,NA,254,188,489,776,90,217.29527,90,2018-08-23T16:03:24Z,FALSE,QRCODE,218451,TRUE,US,MN,0,u-s-bank-stadium,0.88524246,"Minneapolis, MN","Minneapolis, MN 55415",0,55415,Minneapolis,America/Chicago,14,U.S. Bank Stadium,U.S. Bank Stadium,https://seatgeek.com/venues/u-s-bank-stadium/tickets,401 Chicago Avenue,44.97,-93.26,2018-08-22T15:34:15Z,FALSE,NONE
,FALSE,4346963,2018-09-23T21:00:00,2018-04-20T00:00:00,2018-09-23T17:00:00,Colts at Eagles,2018-04-20T00:47:23,normal,2018-09-23T13:00:00,0.788,nfl,FALSE,Indianapolis Colts at Philadelphia Eagles,0.937,FALSE,https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963,FALSE,NA,294,NA,NA,1226,214,378.15,214,2018-08-24T18:26:28Z,FALSE,QRCODE,330,TRUE,US,PA,504,lincoln-financial-field,0.90542685999999994,"Philadelphia, PA","Philadelphia, PA 19148",0,19148,Philadelphia,America/New_York,16,Lincoln Financial Field,Lincoln Financial Field,https://seatgeek.com/venues/lincoln-financial-field/tickets,1020 Pattison Ave,39.9046,-75.1675,2015-07-10T00:00:00Z,FALSE,QRCODE_TM
,FALSE,4346943,2018-09-23T21:00:00,2018-04-20T00:00:00,2018-09-23T17:00:00,Packers at Redskins,2018-04-20T00:47:18,normal,2018-09-23T13:00:00,0.831,nfl,FALSE,Green Bay Packers at Washington Redskins,0.99,FALSE,https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943,FALSE,NA,130,150,695,615,88,171.05385,81,2018-08-24T18:25:58Z,FALSE,QRCODE,35,TRUE,US,MD,511,fedex-field,0.9333444,"Landover, MD","Landover, MD 20785",0,20785,Landover,America/New_York,7,FedEx Field,FedEx Field,https://seatgeek.com/venues/fedex-field/tickets,1600 Fedex Way,38.9071,-76.8658,2015-09-12T14:13:58Z,FALSE,QRCODE_TM
,FALSE,4347021,2018-09-23T21:00:00,2018-04-20T00:00:00,2018-09-23T17:00:00,Giants at Texans,2018-04-20T00:47:36,normal,2018-09-23T12:00:00,0.782,nfl,FALSE,New York Giants at Houston Texans,0.93,FALSE,https://seatgeek.com/giants-at-texans-tickets/9-23-2018-houston-texas-nrg-stadium/nfl/4347021,FALSE,NA,160,175,325,829,87,189.80624,87,2018-08-24T18:27:18Z,FALSE,QRCODE,41,TRUE,US,TX,618,nrg-stadium,0.8624192,"Houston, TX","Houston, TX 77054",0,77054,Houston,America/Chicago,47,NRG Stadium,NRG Stadium,https://seatgeek.com/venues/nrg-stadium/tickets,1 Reliant Park,29.6847,-95.4107,2015-11-04T18:42:27Z,FALSE,QRCODE_TM
,FALSE,4347053,2018-09-23T21:00:00,2018-04-20T00:00:00,2018-09-23T17:00:00,Saints at Falcons,2018-04-20T00:47:42,normal,2018-09-23T13:00:00,0.788,nfl,FALSE,New Orleans Saints at Atlanta Falcons,0.938,FALSE,https://seatgeek.com/saints-at-falcons-tickets/9-23-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347053,FALSE,NA,306,157,670,956,109,214.55882,109,2018-08-24T18:29:05Z,FALSE,QRCODE,419590,TRUE,US,GA,0,mercedes-benz-stadium,0.76958936,"Atlanta, GA","Atlanta, GA 30313",0,30313,Atlanta,America/New_York,20,Mercedes-Benz Stadium,Mercedes-Benz Stadium,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,441 M.L.K. Jr Dr NW,33.76,-84.4,2018-08-23T20:14:46Z,FALSE,QRCODE
,FALSE,4346985,2018-09-23T21:00:00,2018-04-20T00:00:00,2018-09-23T17:00:00,49ers at Chiefs,2018-04-20T00:47:28,normal,2018-09-23T12:00:00,0.763,nfl,FALSE,San Francisco 49ers at Kansas City Chiefs,0.904,FALSE,https://seatgeek.com/49ers-at-chiefs-tickets/9-23-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346985,FALSE,NA,418,154,579,124314,107,461.38516,106,2018-08-24T18:27:03Z,FALSE,QRCODE,1128,TRUE,US,MO,616,arrowhead-stadium,0.8827867,"Kansas City, MO","Kansas City, MO 64129",0,64129,Kansas City,America/Chicago,9,Arrowhead Stadium,Arrowhead Stadium,https://seatgeek.com/venues/arrowhead-stadium/tickets,1 Arrowhead Drive,39.0489,-94.4839,2015-08-20T16:20:51Z,FALSE,QRCODE_TM
,FALSE,4347072,2018-09-23T21:00:00,2018-04-20T00:00:00,2018-09-23T17:00:00,Broncos at Ravens,2018-04-20T00:47:45,normal,2018-09-23T13:00:00,0.755,nfl,FALSE,Denver Broncos at Baltimore Ravens,0.893,FALSE,https://seatgeek.com/broncos-at-ravens-tickets/9-23-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347072,FALSE,NA,204,63,419,409,35,84.89706,35,2018-08-24T18:29:20Z,FALSE,QRCODE,1121,TRUE,US,MD,512,m-t-bank-stadium,0.8927189,"Baltimore, MD","Baltimore, MD 21230",0,21230,Baltimore,America/New_York,8,M&T Bank Stadium,M&T Bank Stadium,https://seatgeek.com/venues/m-t-bank-stadium/tickets,1101 Russell St,39.2774,-76.623,2015-08-04T00:00:00Z,FALSE,QRCODE_TM
,FALSE,4347045,2018-09-23T21:00:00,2018-04-20T00:00:00,2018-09-23T17:00:00,Bengals at Panthers,2018-04-20T00:47:41,normal,2018-09-23T13:00:00,0.763,nfl,FALSE,Cincinnati Bengals at Carolina Panthers,0.904,FALSE,https://seatgeek.com/bengals-at-panthers-tickets/9-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347045,FALSE,NA,138,102,511,514,62,142.45653,65,2018-08-24T18:28:54Z,FALSE,QRCODE,1122,TRUE,US,NC,517,bank-of-america-stadium,0.8968222,"Charlotte, NC","Charlotte, NC 28202",0,28202,Charlotte,America/New_York,9,Bank of America Stadium,Bank of America Stadium,https://seatgeek.com/venues/bank-of-america-stadium/tickets,800 South Mint Street,35.2243,-80.8524,2015-09-25T18:23:51Z,FALSE,QRCODE_TM
