id,created_at,popularity,status,datetime_local,is_open,time_tbd,score,description,visible_until_utc,type,url,title,short_title,announce_date,datetime_tbd,date_tbd,datetime_utc,general_admission,listing_count,highest_price,average_price,visible_listing_count,lowest_price,lowest_price_good_deals,median_price,method,created_at,employee_only,id,num_upcoming_events,state,extended_address,display_location,name_v2,city,metro_code,score,has_upcoming_events,address,slug,postal_code,url,country,timezone,name,popularity,lon,lat,method,created_at,employee_only
4347142,2018-04-20T01:04:05,0,normal,2018-09-23T12:00:00,FALSE,FALSE,0.914,,2018-09-23T21:00:00,nfl,https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142,Buffalo Bills at Minnesota Vikings,Bills at Vikings,2018-04-20T00:00:00,FALSE,FALSE,2018-09-23T17:00:00,NA,149,493,208.32214,415,90,90,197,QRCODE,2018-08-23T16:03:24Z,FALSE,218451,14,MN,"Minneapolis, MN 55415","Minneapolis, MN",U.S. Bank Stadium,Minneapolis,0,0.88524246,TRUE,900 South 5th Street,u-s-bank-stadium,55415,https://seatgeek.com/venues/u-s-bank-stadium/tickets,US,America/Chicago,U.S. Bank Stadium,0,-93.26,44.97,NONE,2018-08-22T15:34:15Z,FALSE
4347088,2018-04-20T00:47:48,0,normal,2018-09-23T13:00:00,FALSE,FALSE,0.885,,2018-09-23T21:00:00,nfl,https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088,Oakland Raiders at Miami Dolphins,Raiders at Dolphins,2018-04-20T00:00:00,FALSE,FALSE,2018-09-23T17:00:00,NA,51,234,128.39215,308,58,52,130,QRCODE,2018-08-24T20:34:12Z,FALSE,29,37,FL,"Miami Gardens, FL 33056","Miami Gardens, FL",Hard Rock Stadium,Miami Gardens,528,0.8378203,TRUE,347 Don Shula Dr.,hard-rock-stadium,33056,https://seatgeek.com/venues/hard-rock-stadium/tickets,US,America/New_York,Hard Rock Stadium,0,-80.24,25.96,NONE,2017-10-03T18:58:44Z,FALSE
4346963,2018-04-20T00:47:23,0,normal,2018-09-23T13:00:00,FALSE,FALSE,0.94,,2018-09-23T21:00:00,nfl,https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963,Indianapolis Colts at Philadelphia Eagles,Colts at Eagles,2018-04-20T00:00:00,FALSE,FALSE,2018-09-23T17:00:00,NA,65,514,239.33846,476,135,105,220,QRCODE,2018-08-24T18:26:28Z,FALSE,330,16,PA,"Philadelphia, PA 19148","Philadelphia, PA",Lincoln Financial Field,Philadelphia,504,0.90542685999999994,TRUE,1020 Pattison Ave,lincoln-financial-field,19148,https://seatgeek.com/venues/lincoln-financial-field/tickets,US,America/New_York,Lincoln Financial Field,0,-75.1675,39.9046,QRCODE_TM,2015-07-10T00:00:00Z,FALSE
4346943,2018-04-20T00:47:18,0,normal,2018-09-23T13:00:00,FALSE,FALSE,0.99,,2018-09-23T21:00:00,nfl,https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943,Green Bay Packers at Washington Redskins,Packers at Redskins,2018-04-20T00:00:00,FALSE,FALSE,2018-09-23T17:00:00,NA,84,615,129.40475,469,61,61,121,QRCODE,2018-08-24T18:25:58Z,FALSE,35,7,MD,"Landover, MD 20785","Landover, MD",FedEx Field,Landover,511,0.9333444,TRUE,1600 Fedex Way,fedex-field,20785,https://seatgeek.com/venues/fedex-field/tickets,US,America/New_York,FedEx Field,0,-76.8658,38.9071,QRCODE_TM,2015-09-12T14:13:58Z,FALSE
4347072,2018-04-20T00:47:45,0,normal,2018-09-23T13:00:00,FALSE,FALSE,0.891,,2018-09-23T21:00:00,nfl,https://seatgeek.com/broncos-at-ravens-tickets/9-23-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347072,Denver Broncos at Baltimore Ravens,Broncos at Ravens,2018-04-20T00:00:00,FALSE,FALSE,2018-09-23T17:00:00,NA,129,358,73.07752,212,30,29,51,QRCODE,2018-08-24T18:29:20Z,FALSE,1121,8,MD,"Baltimore, MD 21230","Baltimore, MD",M&T Bank Stadium,Baltimore,512,0.8927189,TRUE,1101 Russell St,m-t-bank-stadium,21230,https://seatgeek.com/venues/m-t-bank-stadium/tickets,US,America/New_York,M&T Bank Stadium,0,-76.623,39.2774,QRCODE_TM,2015-08-04T00:00:00Z,FALSE
4347045,2018-04-20T00:47:41,0,normal,2018-09-23T13:00:00,FALSE,FALSE,0.89,,2018-09-23T21:00:00,nfl,https://seatgeek.com/bengals-at-panthers-tickets/9-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347045,Cincinnati Bengals at Carolina Panthers,Bengals at Panthers,2018-04-20T00:00:00,FALSE,FALSE,2018-09-23T17:00:00,NA,89,429,142.89888,367,49,65,141,QRCODE,2018-08-24T18:28:54Z,FALSE,1122,9,NC,"Charlotte, NC 28202","Charlotte, NC",Bank of America Stadium,Charlotte,517,0.8968222,TRUE,800 South Mint Street,bank-of-america-stadium,28202,https://seatgeek.com/venues/bank-of-america-stadium/tickets,US,America/New_York,Bank of America Stadium,0,-80.8524,35.2243,QRCODE_TM,2015-09-25T18:23:51Z,FALSE
4347021,2018-04-20T00:47:36,0,normal,2018-09-23T12:00:00,FALSE,FALSE,0.925,,2018-09-23T21:00:00,nfl,https://seatgeek.com/giants-at-texans-tickets/9-23-2018-houston-texas-nrg-stadium/nfl/4347021,New York Giants at Houston Texans,Giants at Texans,2018-04-20T00:00:00,FALSE,FALSE,2018-09-23T17:00:00,NA,59,479,171.1017,136,83,83,148,QRCODE,2018-08-24T18:27:18Z,FALSE,41,47,TX,"Houston, TX 77054","Houston, TX",NRG Stadium,Houston,618,0.8624192,TRUE,1 Reliant Park,nrg-stadium,77054,https://seatgeek.com/venues/nrg-stadium/tickets,US,America/Chicago,NRG Stadium,0,-95.4107,29.6847,QRCODE_TM,2015-11-04T18:42:27Z,FALSE
4347053,2018-04-20T00:47:42,0,normal,2018-09-23T13:00:00,FALSE,FALSE,0.94,,2018-09-23T21:00:00,nfl,https://seatgeek.com/saints-at-falcons-tickets/9-23-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347053,New Orleans Saints at Atlanta Falcons,Saints at Falcons,2018-04-20T00:00:00,FALSE,FALSE,2018-09-23T17:00:00,NA,179,543,178.67598,566,108,108,139,QRCODE,2018-08-24T18:29:05Z,FALSE,419590,19,GA,"Atlanta, GA 30313","Atlanta, GA",Mercedes-Benz Stadium,Atlanta,0,0.76958936,TRUE,35 Northside Dr NW,mercedes-benz-stadium,30313,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,US,America/New_York,Mercedes-Benz Stadium,0,-84.4,33.76,QRCODE,2018-08-23T20:14:46Z,FALSE
4346985,2018-04-20T00:47:28,0,normal,2018-09-23T12:00:00,FALSE,FALSE,0.909,,2018-09-23T21:00:00,nfl,https://seatgeek.com/49ers-at-chiefs-tickets/9-23-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346985,San Francisco 49ers at Kansas City Chiefs,49ers at Chiefs,2018-04-20T00:00:00,FALSE,FALSE,2018-09-23T17:00:00,NA,187,282,135.18182,294,97,97,131,QRCODE,2018-08-24T18:27:03Z,FALSE,1128,9,MO,"Kansas City, MO 64129","Kansas City, MO",Arrowhead Stadium,Kansas City,616,0.8827867,TRUE,1 Arrowhead Drive,arrowhead-stadium,64129,https://seatgeek.com/venues/arrowhead-stadium/tickets,US,America/Chicago,Arrowhead Stadium,0,-94.4839,39.0489,QRCODE_TM,2015-08-20T16:20:51Z,FALSE
4346950,2018-04-20T00:47:19,0,normal,2018-09-23T13:00:00,FALSE,FALSE,0.815,,2018-09-23T21:00:00,nfl,https://seatgeek.com/titans-at-jaguars-tickets/9-23-2018-jacksonville-florida-everbank-field/nfl/4346950,Tennessee Titans at Jacksonville Jaguars,Titans at Jaguars,2018-04-20T00:00:00,FALSE,FALSE,2018-09-23T17:00:00,NA,102,174,68.039215,383,37,37,53,QRCODE,2018-08-24T18:26:19Z,FALSE,5178,9,FL,"Jacksonville, FL 32202","Jacksonville, FL",EverBank Field,Jacksonville,561,0.83759147,TRUE,1 Everbank Field Dr,everbank-field,32202,https://seatgeek.com/venues/everbank-field/tickets,US,America/New_York,EverBank Field,0,-81.6373,30.3239,QRCODE_TM,2015-10-17T20:03:42Z,FALSE
