datetime_local,is_open,time_tbd,title,type,url,id,datetime_utc,description,score,short_title,popularity,created_at,announce_date,datetime_tbd,date_tbd,visible_until_utc,status,general_admission,median_price,visible_listing_count,highest_price,average_price,listing_count,lowest_price_good_deals,lowest_price,employee_only,created_at,method,address,url,state,id,num_upcoming_events,metro_code,score,popularity,has_upcoming_events,postal_code,city,slug,timezone,country,name_v2,name,display_location,extended_address,lon,lat,employee_only,created_at,method
2018-09-27T17:20:00,FALSE,FALSE,Minnesota Vikings at Los Angeles Rams,nfl,https://seatgeek.com/vikings-at-rams-tickets/9-27-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346922,4346922,2018-09-28T00:20:00,,0.856,Vikings at Rams,0.928,2018-04-20T00:47:14,2018-04-20T00:00:00,FALSE,FALSE,2018-09-28T04:20:00,normal,NA,121,825,662,143.76971,482,50,59,FALSE,2018-09-05T22:17:16Z,QRCODE,3911 S Figueroa St,https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets,CA,51012,9,0,0.86898464,0,TRUE,90037,Los Angeles,los-angeles-memorial-coliseum-1,America/Los_Angeles,US,Los Angeles Memorial Coliseum,Los Angeles Memorial Coliseum,"Los Angeles, CA","Los Angeles, CA 90037",-118.288,34.0138,FALSE,2018-08-23T17:59:28Z,QRCODE
2018-09-28T19:00:00,FALSE,FALSE,Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball,sports,https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810,4401810,2018-09-28T23:00:00,,0.356,Arkansas Razorbacks at Kentucky Wildcats Womens Volleyball,0.6,2018-06-05T16:00:59,2018-06-05T00:00:00,FALSE,FALSE,2018-09-29T03:00:00,normal,NA,12,1,12,12,1,NA,12,NA,NA,NA,338 Lexington Avenue,https://seatgeek.com/venues/memorial-coliseum-1/tickets,KY,5102,26,541,0.4125833,0,TRUE,40506,Lexington,memorial-coliseum-1,America/New_York,US,Memorial Coliseum,Memorial Coliseum,"Lexington, KY","Lexington, KY 40506",-84.5,38.04,NA,NA,NA
2018-09-29T11:00:00,TRUE,FALSE,Southwest Classic: Arkansas vs Texas A&M,ncaa_football,https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-11-am/4163969,4163969,2018-09-29T16:00:00,"*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.",0.887,Southwest Classic: Arkansas vs Texas A&M,0.942,2017-12-05T15:00:24,2017-12-05T00:00:00,FALSE,FALSE,2018-09-29T20:00:00,normal,NA,209,729,29213,381.21375,1076,102,102,FALSE,2018-04-17T22:02:33Z,QRCODE,1 AT&T Way,https://seatgeek.com/venues/at-t-stadium/tickets,TX,4965,21,623,0.9751414,0,TRUE,76011,Arlington,at-t-stadium,America/Chicago,US,AT&T Stadium,AT&T Stadium,"Arlington, TX","Arlington, TX 76011",-97.0957,32.7459,FALSE,2018-04-17T22:02:33Z,QRCODE
2018-09-29T15:30:00,FALSE,FALSE,South Alabama Jaguars at Appalachian State Mountaineers Football,ncaa_football,https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951,4281951,2018-09-29T19:30:00,,0.469,South Alabama at Appalachian State,0.655,2018-02-28T15:00:11,2018-02-28T00:00:00,FALSE,FALSE,2018-09-29T23:30:00,normal,NA,74,76,223,86.06573,213,48,48,NA,NA,NA,1 Kidd Brewer Stadium,https://seatgeek.com/venues/kidd-brewer-stadium/tickets,NC,3723,4,517,0.57884717,0,TRUE,28607,Boone,kidd-brewer-stadium,America/New_York,US,Kidd Brewer Stadium,Kidd Brewer Stadium,"Boone, NC","Boone, NC 28607",-81.6856,36.2116,NA,NA,NA
2018-09-30T12:00:00,FALSE,FALSE,Philadelphia Eagles at Tennessee Titans,nfl,https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992,4346992,2018-09-30T16:00:00,,0.872,Eagles at Titans,0.932,2018-04-20T00:47:30,2018-04-20T00:00:00,FALSE,FALSE,2018-09-30T20:00:00,normal,NA,330,432,5815,366.18326,251,175,171,FALSE,2018-08-24T20:47:49Z,QRCODE,1 Titans Way,https://seatgeek.com/venues/nissan-stadium/tickets,TN,1126,16,659,0.8546275,0,TRUE,37213,Nashville,nissan-stadium,America/New_York,US,Nissan Stadium,Nissan Stadium,"Nashville, TN","Nashville, TN 37213",-86.7713,36.1665,FALSE,2015-10-19T15:09:39Z,NONE
2018-09-30T12:00:00,FALSE,FALSE,Buffalo Bills at Green Bay Packers,nfl,https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911,4346911,2018-09-30T17:00:00,,0.876,Bills at Packers,0.92,2018-04-20T00:47:13,2018-04-20T00:00:00,FALSE,FALSE,2018-09-30T21:00:00,normal,NA,328,341,910,360.17545,171,186,208,FALSE,2018-08-24T20:38:24Z,QRCODE,1265 Lombardi Avenue,https://seatgeek.com/venues/lambeau-field/tickets,WI,1125,6,658,0.92909414,0,TRUE,54304,Green Bay,lambeau-field,America/Chicago,US,Lambeau Field,Lambeau Field,"Green Bay, WI","Green Bay, WI 54304",-88.0622,44.5013,FALSE,2015-09-02T22:43:34Z,QRCODE_TM
2018-09-30T12:00:00,FALSE,FALSE,Tampa Bay Buccaneers at Chicago Bears,nfl,https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009,4347009,2018-09-30T17:00:00,,0.876,Buccaneers at Bears,0.936,2018-04-20T00:47:33,2018-04-20T00:00:00,FALSE,FALSE,2018-09-30T21:00:00,normal,NA,356,317,123593,2512.5,58,182,166,FALSE,2018-08-24T20:48:11Z,QRCODE,1410 S. Museum Campus Drive,https://seatgeek.com/venues/soldier-field/tickets,IL,31,9,602,0.940013,0,TRUE,60605,Chicago,soldier-field,America/Chicago,US,Soldier Field,Soldier Field,"Chicago, IL","Chicago, IL 60605",-87.6159,41.8623,FALSE,2018-06-02T00:44:08Z,NONE
2018-09-30T13:00:00,FALSE,FALSE,Cincinnati Bengals at Atlanta Falcons,nfl,https://seatgeek.com/bengals-at-falcons-tickets/9-30-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347052,4347052,2018-09-30T17:00:00,,0.887,Bengals at Falcons,0.94,2018-04-20T00:47:42,2018-04-20T00:00:00,FALSE,FALSE,2018-09-30T21:00:00,normal,NA,85,788,192,128.25,4,69,74,FALSE,2018-08-23T20:14:46Z,QRCODE,441 M.L.K. Jr Dr NW,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,GA,419590,19,0,0.76958936,0,TRUE,30313,Atlanta,mercedes-benz-stadium,America/New_York,US,Mercedes-Benz Stadium,Mercedes-Benz Stadium,"Atlanta, GA","Atlanta, GA 30313",-84.4,33.76,FALSE,2018-08-23T20:14:46Z,QRCODE
2018-09-30T13:00:00,FALSE,FALSE,New York Jets at Jacksonville Jaguars,nfl,https://seatgeek.com/jets-at-jaguars-tickets/9-30-2018-jacksonville-florida-everbank-field/nfl/4346949,4346949,2018-09-30T17:00:00,,0.794,Jets at Jaguars,0.877,2018-04-20T00:47:19,2018-04-20T00:00:00,FALSE,FALSE,2018-09-30T21:00:00,normal,NA,92,538,393,108.18391,348,48,48,FALSE,2018-08-24T20:38:35Z,QRCODE,1 Everbank Field Dr,https://seatgeek.com/venues/everbank-field/tickets,FL,5178,8,561,0.83759147,0,TRUE,32202,Jacksonville,everbank-field,America/New_York,US,EverBank Field,EverBank Field,"Jacksonville, FL","Jacksonville, FL 32202",-81.6373,30.3239,FALSE,2015-10-17T20:03:42Z,QRCODE_TM
2018-09-30T12:00:00,TRUE,FALSE,Detroit Lions at Dallas Cowboys,nfl,https://seatgeek.com/lions-at-cowboys-tickets/9-30-2018-arlington-texas-at-t-stadium/nfl/4327924,4327924,2018-09-30T17:00:00,,0.923,Lions at Cowboys,0.965,2018-04-05T23:08:47,2018-04-05T00:00:00,FALSE,FALSE,2018-09-30T21:00:00,normal,NA,198,1950,1800,242.8112,2357,NA,NA,FALSE,2018-04-17T22:02:33Z,QRCODE,1 AT&T Way,https://seatgeek.com/venues/at-t-stadium/tickets,TX,4965,21,623,0.9751414,0,TRUE,76011,Arlington,at-t-stadium,America/Chicago,US,AT&T Stadium,AT&T Stadium,"Arlington, TX","Arlington, TX 76011",-97.0957,32.7459,FALSE,2018-04-17T22:02:33Z,QRCODE
