id,type,time_tbd,title,visible_until_utc,created_at,datetime_utc,is_open,description,url,announce_date,short_title,status,datetime_tbd,date_tbd,popularity,datetime_local,score,general_admission,listing_count,average_price,lowest_price,median_price,visible_listing_count,highest_price,lowest_price_good_deals,method,employee_only,created_at,id,name_v2,num_upcoming_events,country,score,timezone,postal_code,extended_address,slug,url,address,has_upcoming_events,display_location,metro_code,popularity,state,name,city,lat,lon,method,employee_only,created_at
4347096,nfl,FALSE,Indianapolis Colts at New England Patriots,2018-10-05T04:20:00,2018-04-20T00:47:50,2018-10-05T00:20:00,FALSE,,https://seatgeek.com/colts-at-patriots-tickets/10-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347096,2018-04-20T00:00:00,Colts at Patriots,normal,FALSE,FALSE,0.976,2018-10-04T20:20:00,0.943,NA,95,268.07367,128,231,323,1127,125,QRCODE,FALSE,2018-08-24T21:03:24Z,33,Gillette Stadium,14,US,0.8983344,America/New_York,02035,"Foxborough, MA 02035",gillette-stadium,https://seatgeek.com/venues/gillette-stadium/tickets,1 Patriot Place,TRUE,"Foxborough, MA",506,0,MA,Gillette Stadium,Foxborough,42.0906,-71.2674,NONE,FALSE,2018-08-22T15:36:58Z
4281989,ncaa_football,FALSE,South Alabama Jaguars at Georgia Southern Eagles Football,2018-10-06T23:30:00,2018-02-28T15:00:17,2018-10-06T19:30:00,FALSE,,https://seatgeek.com/south-alabama-jaguars-at-georgia-southern-eagles-football-tickets/ncaa-football/2018-10-06-3-30-pm/4281989,2018-02-28T00:00:00,South Alabama at Georgia Southern,normal,FALSE,FALSE,0.727,2018-10-06T15:30:00,0.633,NA,24,45.375,29,41,5,69,NA,NA,NA,NA,2352,Allen E. Paulson Stadium,3,US,0.41380084,America/New_York,30460,"Statesboro, GA 30460",allen-e-paulson-stadium,https://seatgeek.com/venues/allen-e-paulson-stadium/tickets,225 Lanier Drive,TRUE,"Statesboro, GA",507,0,GA,Allen E. Paulson Stadium,Statesboro,32.4488,-81.7832,NA,NA,NA
4347079,nfl,FALSE,Atlanta Falcons at Pittsburgh Steelers,2018-10-07T21:00:00,2018-04-20T00:47:47,2018-10-07T17:00:00,FALSE,,https://seatgeek.com/falcons-at-steelers-tickets/10-7-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347079,2018-04-20T00:00:00,Falcons at Steelers,normal,FALSE,FALSE,0.954,2018-10-07T13:00:00,0.931,NA,149,342.12082,125,313,280,734,125,QRCODE,FALSE,2018-08-24T21:16:40Z,1119,Heinz Field,9,US,0.9033526,America/New_York,15212,"Pittsburgh, PA 15212",heinz-field,https://seatgeek.com/venues/heinz-field/tickets,100 Art Rooney Avenue,TRUE,"Pittsburgh, PA",508,0,PA,Heinz Field,Pittsburgh,40.4468,-80.0158,QRCODE_TM,FALSE,2015-12-08T15:36:23Z
4347032,nfl,FALSE,New York Giants at Carolina Panthers,2018-10-07T21:00:00,2018-04-20T00:47:38,2018-10-07T17:00:00,FALSE,,https://seatgeek.com/giants-at-panthers-tickets/10-7-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347032,2018-04-20T00:00:00,Giants at Panthers,normal,FALSE,FALSE,0.962,2018-10-07T13:00:00,0.936,NA,202,342.69305,150,294,319,961,150,QRCODE,FALSE,2018-08-24T21:15:58Z,1122,Bank of America Stadium,9,US,0.8968222,America/New_York,28202,"Charlotte, NC 28202",bank-of-america-stadium,https://seatgeek.com/venues/bank-of-america-stadium/tickets,800 South Mint Street,TRUE,"Charlotte, NC",517,0,NC,Bank of America Stadium,Charlotte,35.2243,-80.8524,QRCODE_TM,FALSE,2015-09-25T18:23:51Z
4347027,nfl,FALSE,Green Bay Packers at Detroit Lions,2018-10-07T21:00:00,2018-04-20T00:47:37,2018-10-07T17:00:00,FALSE,,https://seatgeek.com/packers-at-lions-tickets/10-7-2018-detroit-michigan-ford-field/nfl/4347027,2018-04-20T00:00:00,Packers at Lions,normal,FALSE,FALSE,0.976,2018-10-07T13:00:00,0.952,NA,301,222.74086,131,199,401,2381,128,QRCODE,FALSE,2018-08-24T21:05:06Z,346,Ford Field,11,US,0.9029952,America/Detroit,48226,"Detroit, MI 48226",ford-field,https://seatgeek.com/venues/ford-field/tickets,2000 Brush St.,TRUE,"Detroit, MI",505,0,MI,Ford Field,Detroit,42.34,-83.0459,NONE,FALSE,2015-11-04T17:31:52Z
4347011,nfl,FALSE,Denver Broncos at New York Jets,2018-10-07T21:00:00,2018-04-20T00:47:34,2018-10-07T17:00:00,FALSE,,https://seatgeek.com/broncos-at-jets-tickets/10-7-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347011,2018-04-20T00:00:00,Broncos at Jets,normal,FALSE,FALSE,0.983,2018-10-07T13:00:00,0.96,NA,668,145.67215,56,129,774,632,53,QRCODE,FALSE,2018-09-05T19:53:41Z,1587,MetLife Stadium,15,US,0.94873494,America/New_York,07073,"East Rutherford, NJ 07073",metlife-stadium,https://seatgeek.com/venues/metlife-stadium/tickets,1 MetLife Stadium Drive,TRUE,"East Rutherford, NJ",501,0,NJ,MetLife Stadium,East Rutherford,40.8142,-74.0737,QRCODE_TM,FALSE,2015-09-12T14:14:07Z
4347043,nfl,FALSE,Miami Dolphins at Cincinnati Bengals,2018-10-07T21:00:00,2018-04-20T00:47:40,2018-10-07T17:00:00,FALSE,,https://seatgeek.com/dolphins-at-bengals-tickets/10-7-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347043,2018-04-20T00:00:00,Dolphins at Bengals,normal,FALSE,FALSE,0.919,2018-10-07T13:00:00,0.879,NA,166,118.66868,72,106,423,357,60,QRCODE,FALSE,2018-08-24T21:16:15Z,1124,Paul Brown Stadium,7,US,0.86166537,America/New_York,45202,"Cincinnati, OH 45202",paul-brown-stadium,https://seatgeek.com/venues/paul-brown-stadium/tickets,1 Paul Brown Stadium,TRUE,"Cincinnati, OH",515,0,OH,Paul Brown Stadium,Cincinnati,39.0961,-84.5177,QRCODE_TM,FALSE,2015-10-09T16:14:37Z
4347063,nfl,FALSE,Tennessee Titans at Buffalo Bills,2018-10-07T21:00:00,2018-04-20T00:47:44,2018-10-07T17:00:00,FALSE,,https://seatgeek.com/titans-at-bills-tickets/10-7-2018-orchard-park-new-york-new-era-field/nfl/4347063,2018-04-20T00:00:00,Titans at Bills,normal,FALSE,FALSE,0.914,2018-10-07T13:00:00,0.884,NA,372,134.4543,74,122,543,429,74,QRCODE,FALSE,2018-08-24T21:16:26Z,1135,New Era Field,7,US,0.8815085,America/New_York,14127,"Orchard Park, NY 14127",new-era-field,https://seatgeek.com/venues/new-era-field/tickets,1 Bills Drive,TRUE,"Orchard Park, NY",514,0,NY,New Era Field,Orchard Park,42.7737,-78.7874,QRCODE_TM,FALSE,2015-08-12T16:52:53Z
4346999,nfl,FALSE,Baltimore Ravens at Cleveland Browns,2018-10-07T21:00:00,2018-04-20T00:47:31,2018-10-07T17:00:00,FALSE,,https://seatgeek.com/ravens-at-browns-tickets/10-7-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346999,2018-04-20T00:00:00,Ravens at Browns,normal,FALSE,FALSE,0.929,2018-10-07T13:00:00,0.894,NA,434,148.10829,58,116,600,722,58,QRCODE,FALSE,2018-08-24T21:04:01Z,1123,FirstEnergy Stadium,6,US,0.86852187,America/New_York,44114,"Cleveland, OH 44114",firstenergy-stadium-15,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,100 Alfred Lerner Way,TRUE,"Cleveland, OH",510,0,OH,FirstEnergy Stadium,Cleveland,41.5065,-81.7,NONE,FALSE,2015-11-11T20:55:31Z
4346983,nfl,FALSE,Jacksonville Jaguars at Kansas City Chiefs,2018-10-07T21:00:00,2018-04-20T00:47:28,2018-10-07T17:00:00,FALSE,,https://seatgeek.com/jaguars-at-chiefs-tickets/10-7-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346983,2018-04-20T00:00:00,Jaguars at Chiefs,normal,FALSE,FALSE,0.928,2018-10-07T12:00:00,0.894,NA,547,186.44241,95,178,773,406,85,QRCODE,FALSE,2018-08-24T21:03:49Z,1128,Arrowhead Stadium,8,US,0.8827867,America/Chicago,64129,"Kansas City, MO 64129",arrowhead-stadium,https://seatgeek.com/venues/arrowhead-stadium/tickets,1 Arrowhead Drive,TRUE,"Kansas City, MO",616,0,MO,Arrowhead Stadium,Kansas City,39.0489,-94.4839,QRCODE_TM,FALSE,2015-08-20T16:20:51Z
