type,date_tbd,id,description,status,announce_date,popularity,is_open,datetime_tbd,datetime_utc,datetime_local,short_title,title,time_tbd,visible_until_utc,created_at,score,url,general_admission,median_price,highest_price,visible_listing_count,average_price,lowest_price_good_deals,lowest_price,listing_count,employee_only,created_at,method,slug,extended_address,address,id,state,timezone,num_upcoming_events,has_upcoming_events,popularity,city,country,name,metro_code,display_location,postal_code,name_v2,score,url,lat,lon,employee_only,created_at,method
nfl,FALSE,4346917,,normal,2018-04-20T00:00:00,0.978,FALSE,FALSE,2018-10-12T00:20:00,2018-10-11T20:20:00,Eagles at Giants,Philadelphia Eagles at New York Giants,FALSE,2018-10-12T04:20:00,2018-04-20T00:47:14,0.968,https://seatgeek.com/eagles-at-giants-tickets/10-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346917,NA,NA,1519,NA,270.08,114,114,237,FALSE,2018-08-24T21:52:02Z,QRCODE,metlife-stadium,"East Rutherford, NJ 07073",1 MetLife Stadium Drive,1587,NJ,America/New_York,14,TRUE,0,East Rutherford,US,MetLife Stadium,501,"East Rutherford, NJ",07073,MetLife Stadium,0.94873494,https://seatgeek.com/venues/metlife-stadium/tickets,40.8142,-74.0737,FALSE,2015-09-12T14:14:07Z,QRCODE_TM
ncaa_football,FALSE,4192619,,normal,2017-12-21T00:00:00,0.639,FALSE,FALSE,2018-10-13T21:00:00,2018-10-13T16:00:00,Alabama State at South Alabama,Alabama State Hornets at South Alabama Jaguars Football,FALSE,2018-10-14T01:00:00,2017-12-21T15:00:36,0.498,https://seatgeek.com/alabama-state-hornets-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-13-4-pm/4192619,NA,NA,74,NA,44,32,32,9,NA,NA,NA,ladd-peebles-stadium,"Mobile, AL 36604",1621 Virginia St.,3716,AL,America/Chicago,5,TRUE,0,Mobile,US,Ladd Peebles Stadium,686,"Mobile, AL",36604,Ladd Peebles Stadium,0.50177634,https://seatgeek.com/venues/ladd-peebles-stadium/tickets,30.6748,-88.0761,NA,NA,NA
nfl,FALSE,4347051,,normal,2018-04-20T00:00:00,0.915,FALSE,FALSE,2018-10-14T17:00:00,2018-10-14T13:00:00,Buccaneers at Falcons,Tampa Bay Buccaneers at Atlanta Falcons,FALSE,2018-10-14T21:00:00,2018-04-20T00:47:42,0.917,https://seatgeek.com/buccaneers-at-falcons-tickets/10-14-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347051,NA,NA,721,NA,162.09,62,62,522,FALSE,2018-08-24T21:53:35Z,QRCODE,mercedes-benz-stadium,"Atlanta, GA 30313",441 M.L.K. Jr Dr NW,419590,GA,America/New_York,18,TRUE,0,Atlanta,US,Mercedes-Benz Stadium,0,"Atlanta, GA",30313,Mercedes-Benz Stadium,0.76958936,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,33.76,-84.4,FALSE,2018-08-23T20:14:46Z,QRCODE
nfl,FALSE,4346961,,normal,2018-04-20T00:00:00,0.941,FALSE,FALSE,2018-10-14T17:00:00,2018-10-14T13:00:00,Colts at Jets,Indianapolis Colts at New York Jets,FALSE,2018-10-14T21:00:00,2018-04-20T00:47:22,0.939,https://seatgeek.com/colts-at-jets-tickets/10-14-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346961,NA,NA,957,NA,155.44,48,46,529,FALSE,2018-08-24T21:52:02Z,QRCODE,metlife-stadium,"East Rutherford, NJ 07073",1 MetLife Stadium Drive,1587,NJ,America/New_York,14,TRUE,0,East Rutherford,US,MetLife Stadium,501,"East Rutherford, NJ",07073,MetLife Stadium,0.94873494,https://seatgeek.com/venues/metlife-stadium/tickets,40.8142,-74.0737,FALSE,2015-09-12T14:14:07Z,QRCODE_TM
nfl,FALSE,4347042,,normal,2018-04-20T00:00:00,0.92,FALSE,FALSE,2018-10-14T17:00:00,2018-10-14T13:00:00,Steelers at Bengals,Pittsburgh Steelers at Cincinnati Bengals,FALSE,2018-10-14T21:00:00,2018-04-20T00:47:40,0.913,https://seatgeek.com/steelers-at-bengals-tickets/10-14-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347042,NA,NA,600,NA,195.3,119,118,240,FALSE,2018-08-24T21:53:35Z,QRCODE,paul-brown-stadium,"Cincinnati, OH 45202",1 Paul Brown Stadium,1124,OH,America/New_York,6,TRUE,0,Cincinnati,US,Paul Brown Stadium,515,"Cincinnati, OH",45202,Paul Brown Stadium,0.86166537,https://seatgeek.com/venues/paul-brown-stadium/tickets,39.0961,-84.5177,FALSE,2015-10-09T16:14:37Z,QRCODE_TM
nfl,FALSE,4347081,,normal,2018-04-20T00:00:00,0.922,FALSE,FALSE,2018-10-14T17:00:00,2018-10-14T13:00:00,Bears at Dolphins,Chicago Bears at Miami Dolphins,FALSE,2018-10-14T21:00:00,2018-04-20T00:47:47,0.916,https://seatgeek.com/bears-at-dolphins-tickets/10-14-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347081,NA,NA,666,NA,213.96,103,96,77,FALSE,2018-08-24T21:53:35Z,QRCODE,hard-rock-stadium,"Miami Gardens, FL 33056",347 Don Shula Dr.,29,FL,America/New_York,34,TRUE,0,Miami Gardens,US,Hard Rock Stadium,528,"Miami Gardens, FL",33056,Hard Rock Stadium,0.8378203,https://seatgeek.com/venues/hard-rock-stadium/tickets,25.96,-80.24,FALSE,2017-10-03T18:58:44Z,NONE
nfl,FALSE,4346998,,normal,2018-04-20T00:00:00,0.9,FALSE,FALSE,2018-10-14T17:00:00,2018-10-14T13:00:00,Chargers at Browns,Los Angeles Chargers at Cleveland Browns,FALSE,2018-10-14T21:00:00,2018-04-20T00:47:31,0.886,https://seatgeek.com/chargers-at-browns-tickets/10-14-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346998,NA,NA,594,NA,130.52,72,59,546,FALSE,2018-08-24T21:53:35Z,QRCODE,firstenergy-stadium-15,"Cleveland, OH 44114",100 Alfred Lerner Way,1123,OH,America/New_York,5,TRUE,0,Cleveland,US,FirstEnergy Stadium,510,"Cleveland, OH",44114,FirstEnergy Stadium,0.86852187,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,41.5065,-81.7,FALSE,2015-11-11T20:55:31Z,NONE
nfl,FALSE,4347145,,normal,2018-04-20T00:00:00,0.917,FALSE,FALSE,2018-10-14T17:00:00,2018-10-14T12:00:00,Cardinals at Vikings,Arizona Cardinals at Minnesota Vikings,FALSE,2018-10-14T21:00:00,2018-04-20T01:04:06,0.916,https://seatgeek.com/cardinals-at-vikings-tickets/10-14-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347145,NA,NA,992,NA,266.57,111,111,300,FALSE,2018-08-24T21:53:38Z,QRCODE,u-s-bank-stadium,"Minneapolis, MN 55415",900 South 5th Street,218451,MN,America/Chicago,15,TRUE,0,Minneapolis,US,U.S. Bank Stadium,0,"Minneapolis, MN",55415,U.S. Bank Stadium,0.88524246,https://seatgeek.com/venues/u-s-bank-stadium/tickets,44.97,-93.26,FALSE,2018-08-22T15:34:15Z,NONE
nfl,FALSE,4346942,,normal,2018-04-20T00:00:00,0.948,FALSE,FALSE,2018-10-14T17:00:00,2018-10-14T13:00:00,Panthers at Redskins,Carolina Panthers at Washington Redskins,FALSE,2018-10-14T21:00:00,2018-04-20T00:47:18,0.952,https://seatgeek.com/panthers-at-redskins-tickets/10-14-2018-landover-maryland-fedex-field/nfl/4346942,NA,NA,259,NA,151.47,98,98,77,FALSE,2018-08-24T21:52:02Z,QRCODE,fedex-field,"Landover, MD 20785",1600 Fedex Way,35,MD,America/New_York,6,TRUE,0,Landover,US,FedEx Field,511,"Landover, MD",20785,FedEx Field,0.9333444,https://seatgeek.com/venues/fedex-field/tickets,38.9071,-76.8658,FALSE,2015-09-12T14:13:58Z,QRCODE_TM
nfl,FALSE,4347019,,normal,2018-04-20T00:00:00,0.906,FALSE,FALSE,2018-10-14T17:00:00,2018-10-14T12:00:00,Bills at Texans,Buffalo Bills at Houston Texans,FALSE,2018-10-14T21:00:00,2018-04-20T00:47:36,0.895,https://seatgeek.com/bills-at-texans-tickets/10-14-2018-houston-texas-nrg-stadium/nfl/4347019,NA,NA,630,NA,156,50,50,544,FALSE,2018-08-24T21:53:35Z,QRCODE,nrg-stadium,"Houston, TX 77054",1 Reliant Park,41,TX,America/Chicago,42,TRUE,0,Houston,US,NRG Stadium,618,"Houston, TX",77054,NRG Stadium,0.8624192,https://seatgeek.com/venues/nrg-stadium/tickets,29.6847,-95.4107,FALSE,2015-11-04T18:42:27Z,QRCODE_TM
