"","code","date","dateTBA","dateTBD","dateTime","description","description.1","endDateTime","id","id.1","info","info.1","localDate","locale","localTime","name","name.1","noSpecificTime","spanMultipleDays","startDateTime","startTBD","staticUrl","test","timestamp","timeTBA","timezone","type","url","X"
"1","onsale","2018-12-19",FALSE,FALSE,"2018-12-23T18:00:00Z","NFL REGULAR SEASON / NTL / USA",NA,"2018-12-23T19:00:00Z","vv17fZ4kGkT3z9gv",705,NA,NA,"2018-12-23","en-us","13:00:00","Cleveland Browns vs. Cincinnati Bengals","NFL REGULAR SEASON",FALSE,FALSE,"2018-07-12T14:00:00Z",FALSE,"https://s1.ticketm.net/tmimages/venue/maps/ch2/54506s.gif",FALSE,"2018-12-19_08.25.16",FALSE,"America/New_York","event","https://www.ticketmaster.com/cleveland-browns-vs-cincinnati-bengals-cleveland-ohio-12-23-2018/event/0500546FD2E17D41",1
"2","offsale","2018-12-19",FALSE,FALSE,"2018-12-23T18:00:00Z","SEATGEEK / NTL / USA",NA,NA,"vvG1YZ4FK4U6Ou",4635,NA,NA,"2018-12-23","en-us","12:00:00","Dallas Cowboys vs. Tampa Bay Buccaneers","SEATGEEK",FALSE,FALSE,NA,FALSE,"https://s1.ticketm.net/tmimages/venue/maps/dal/85312s.gif",FALSE,"2018-12-19_08.25.16",FALSE,"America/Chicago","event","https://www.ticketmaster.com/dallas-cowboys-vs-tampa-bay-buccaneers-arlington-texas-12-23-2018/event/0C005484D5D8780D",2
"3","onsale","2018-12-19",FALSE,FALSE,"2018-12-30T18:00:00Z","NFL REGULAR SEASON / NTL / USA",NA,"2018-12-30T18:00:00Z","vv1akZAoY07oNZe26",705,"There is an overall 8 ticket limit for this event.",NA,"2018-12-30","en-us","12:00:00","Minnesota Vikings vs. Chicago Bears","NFL REGULAR SEASON",FALSE,FALSE,"2018-07-19T15:00:00Z",FALSE,"https://s1.ticketm.net/tmimages/venue/maps/ch3/79648s.gif",FALSE,"2018-12-19_08.25.16",FALSE,"America/Chicago","event","https://www.ticketmaster.com/minnesota-vikings-vs-chicago-bears-minneapolis-minnesota-12-30-2018/event/06005470904463E6",3
"4","onsale","2018-12-19",FALSE,FALSE,"2018-12-30T18:00:00Z","NFL REGULAR SEASON / NTL / USA",NA,"2018-12-30T19:00:00Z","vvG1VZ469wxTFd",705,"There is an overall 8 ticket limit for this event.",NA,"2018-12-30","en-us","13:00:00","Tampa Bay Buccaneers vs. Atlanta Falcons","NFL REGULAR SEASON",FALSE,FALSE,"2018-04-20T00:00:00Z",FALSE,"https://s1.ticketm.net/tmimages/venue/maps/flo/24581s.gif",FALSE,"2018-12-19_08.25.16",FALSE,"America/New_York","event","https://www.ticketmaster.com/tampa-bay-buccaneers-vs-atlanta-falcons-tampa-florida-12-30-2018/event/0D005475F28BF203",4
"5","onsale","2018-12-19",FALSE,FALSE,"2018-12-24T01:20:00Z","NFL REGULAR SEASON / NTL / USA",NA,"2018-12-24T01:20:00Z","vvG1HZ4kEa9Pzn",705,"There is an overall 6 ticket limit for this event.",NA,"2018-12-23","en-us","17:20:00","Seattle Seahawks vs. Kansas City Chiefs","NFL REGULAR SEASON",FALSE,FALSE,"2018-04-20T00:00:00Z",FALSE,"https://s1.ticketm.net/tmimages/venue/maps/sea/77629s.gif",FALSE,"2018-12-19_08.25.16",FALSE,"America/Los_Angeles","event","https://www.ticketmaster.com/seattle-seahawks-vs-kansas-city-chiefs-seattle-washington-12-23-2018/event/0F005469C95E5E2A",5
"6","onsale","2018-12-19",FALSE,FALSE,"2018-12-30T21:25:00Z","NFL REGULAR SEASON / NTL / USA",NA,"2018-12-30T21:25:00Z","vvG1IZ4kDLAPsu",705,NA,NA,"2018-12-30","en-us","13:25:00","Los Angeles Rams vs. San Francisco 49ers","NFL REGULAR SEASON",FALSE,FALSE,"2018-04-20T00:00:00Z",FALSE,"https://s1.ticketm.net/tmimages/venue/maps/wes/70057s.gif",FALSE,"2018-12-19_08.25.16",FALSE,"America/Los_Angeles","event","https://www.ticketmaster.com/los-angeles-rams-vs-san-francisco-los-angeles-california-12-30-2018/event/0A00546EDF165C4D",6
"7","onsale","2018-12-19",FALSE,FALSE,"2018-12-23T18:00:00Z","NFL REGULAR SEASON / NTL / USA",NA,"2018-12-23T19:00:00Z","vv177Z4kGkT9dQNF",705,"There is a four (4) ticket limit.",NA,"2018-12-23","en-us","13:00:00","New England Patriots vs. Buffalo Bills","NFL REGULAR SEASON",FALSE,FALSE,"2018-07-23T14:00:00Z",FALSE,"https://s1.ticketm.net/tmimages/venue/maps/ny2/ny2567a.gif",FALSE,"2018-12-19_08.25.16",FALSE,"America/New_York","event","https://www.ticketmaster.com/new-england-patriots-vs-buffalo-bills-foxborough-massachusetts-12-23-2018/event/0100546FD70DA8C8",7
"8","offsale","2018-12-19",FALSE,FALSE,"2018-12-18T01:15:00Z","NFL REGULAR SEASON / NTL / USA",NA,"2018-12-18T01:15:00Z","vvG1zZ46eEbtyO",705,"There is an overall 10 ticket limit for this event.","Wheelchair Seating: Located in mulitple sections around the stadium","2018-12-17","en-us","20:15:00","Carolina Panthers vs. New Orleans Saints","NFL REGULAR SEASON",FALSE,FALSE,"2018-04-28T14:00:00Z",FALSE,"https://s1.ticketm.net/tmimages/venue/maps/atl/19741s.gif",FALSE,"2018-12-19_08.25.16",FALSE,"America/New_York","event","https://www.ticketmaster.com/carolina-panthers-vs-new-orleans-saints-charlotte-north-carolina-12-17-2018/event/0E005470A7629E60",8
"9","onsale","2018-12-19",FALSE,FALSE,"2018-12-23T21:05:00Z","NFL REGULAR SEASON / NTL / USA",NA,"2018-12-23T18:05:00Z","1Av0Z4kGkD7ifOW",705,NA,NA,"2018-12-23","en-us","14:05:00","Arizona Cardinals vs. Los Angeles Rams","NFL REGULAR SEASON",FALSE,FALSE,"2018-07-21T17:00:00Z",FALSE,"https://s1.ticketm.net/tmimages/venue/maps/mtn/32276s.gif",FALSE,"2018-12-19_08.25.16",FALSE,"America/Phoenix","event","https://www.ticketmaster.com/arizona-cardinals-vs-los-angeles-rams-glendale-arizona-12-23-2018/event/1900546EC4B1483D",9
"10","offsale","2018-12-19",FALSE,FALSE,NA,"NFL PLAYOFFS & SUPERBOWL / NTL / USA",NA,NA,"vvG1IZ493KAv8S",706,NA,NA,"2019-01-20","en-us",NA,"Los Angeles Rams NFC Playoffs - NFC Championship Game","NFL PLAYOFFS & SUPERBOWL",TRUE,FALSE,NA,FALSE,"https://s1.ticketm.net/tmimages/venue/maps/wes/70057s.gif",FALSE,"2018-12-19_08.25.16",TRUE,"America/Los_Angeles","event","https://www.ticketmaster.com/los-angeles-rams-nfc-playoffs-nfc-los-angeles-california-01-20-2019/event/0A00557493141433",10
"11","onsale","2018-12-19",FALSE,FALSE,NA,NA,NA,"2019-02-04T04:59:20Z","Z7r9jZ1Aefdqz",NA,NA,NA,"2019-02-03","en-us",NA,"Super Bowl",NA,FALSE,FALSE,"1900-01-01T06:00:00Z",FALSE,"http://resale.ticketmaster.com.au/akamai-content/graphics/TMResale/2/VenueMaps/12622-1124-3-0-MercedesBenzStadiumSuperBowl.png",FALSE,"2018-12-19_08.25.16",TRUE,NA,"event","http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2503778",11
"12","onsale","2018-12-19",FALSE,FALSE,"2018-12-23T18:00:00Z","NFL REGULAR SEASON / NTL / USA",NA,"2018-12-23T19:00:00Z","vvG1VZ4kMfIqHM",705,NA,NA,"2018-12-23","en-us","13:00:00","Jacksonville Jaguars v Miami Dolphins","NFL REGULAR SEASON",FALSE,FALSE,"2018-05-09T14:00:00Z",FALSE,"https://s1.ticketm.net/tmimages/venue/maps/flo/85771s.gif",FALSE,"2018-12-19_08.25.16",FALSE,"America/New_York","event","https://www.ticketmaster.com/jacksonville-jaguars-v-miami-dolphins-miami-florida-12-23-2018/event/0D00546DD4A1DF37",12
"13","onsale","2018-12-19",FALSE,FALSE,"2018-12-23T18:00:00Z","NFL REGULAR SEASON / NTL / USA",NA,"2018-12-23T19:00:00Z","vv17FZ4kGkzZfsQP",705,NA,NA,"2018-12-23","en-us","13:00:00","Philadelphia Eagles vs. Houston Texans","NFL REGULAR SEASON",FALSE,FALSE,"2018-05-10T14:00:00Z",FALSE,"https://s1.ticketm.net/tmimages/venue/maps/phi/71340s.gif",FALSE,"2018-12-19_08.25.16",FALSE,"America/New_York","event","https://www.ticketmaster.com/philadelphia-eagles-vs-houston-texans-philadelphia-pennsylvania-12-23-2018/event/0200546E005316A5",13
