"","date","timestamp","name","type","id","test","url","locale","startTBD","startDateTime","endDateTime","localDate","localTime","dateTime","dateTBD","dateTBA","timeTBA","noSpecificTime","code","timezone","spanMultipleDays","id","name","description","staticUrl","info","info"
"1","2018-12-26","2018-12-26_08.52.44","Washington Redskins vs. Philadelphia Eagles","event","1AvfZ4kGkTqo4QN",FALSE,"https://www.ticketmaster.com/washington-redskins-vs-philadelphia-eagles-landover-maryland-12-30-2018/event/1500546FDD4556A3","en-us",FALSE,NA,NA,"2018-12-30","16:25:00","2018-12-30T21:25:00Z",FALSE,FALSE,FALSE,FALSE,"offsale","America/New_York",FALSE,"705","NFL REGULAR SEASON","NFL REGULAR SEASON / NTL / USA","https://s1.ticketm.net/tmimages/venue/maps/wdc/53738s.gif","There is an overall 8 ticket limit for this event.",NA
"2","2018-12-26","2018-12-26_08.52.44","Minnesota Vikings vs. Chicago Bears","event","vv1akZAoY07oNZe26",FALSE,"https://www.ticketmaster.com/minnesota-vikings-vs-chicago-bears-minneapolis-minnesota-12-30-2018/event/06005470904463E6","en-us",FALSE,"2018-07-19T15:00:00Z","2018-12-30T21:25:00Z","2018-12-30","15:25:00","2018-12-30T21:25:00Z",FALSE,FALSE,FALSE,FALSE,"onsale","America/Chicago",FALSE,"705","NFL REGULAR SEASON","NFL REGULAR SEASON / NTL / USA","https://s1.ticketm.net/tmimages/venue/maps/ch3/79648s.gif","There is an overall 8 ticket limit for this event.",NA
"3","2018-12-26","2018-12-26_08.52.44","Los Angeles Rams vs. San Francisco 49ers","event","vvG1IZ4kDLAPsu",FALSE,"https://www.ticketmaster.com/los-angeles-rams-vs-san-francisco-los-angeles-california-12-30-2018/event/0A00546EDF165C4D","en-us",FALSE,"2018-04-20T00:00:00Z","2018-12-30T21:25:00Z","2018-12-30","13:25:00","2018-12-30T21:25:00Z",FALSE,FALSE,FALSE,FALSE,"onsale","America/Los_Angeles",FALSE,"705","NFL REGULAR SEASON","NFL REGULAR SEASON / NTL / USA","https://s1.ticketm.net/tmimages/venue/maps/wes/70057s.gif",NA,NA
"4","2018-12-26","2018-12-26_08.52.44","Tampa Bay Buccaneers vs. Atlanta Falcons","event","vvG1VZ469wxTFd",FALSE,"https://www.ticketmaster.com/tampa-bay-buccaneers-vs-atlanta-falcons-tampa-florida-12-30-2018/event/0D005475F28BF203","en-us",FALSE,"2018-04-20T00:00:00Z","2018-12-30T19:00:00Z","2018-12-30","13:00:00","2018-12-30T18:00:00Z",FALSE,FALSE,FALSE,FALSE,"onsale","America/New_York",FALSE,"705","NFL REGULAR SEASON","NFL REGULAR SEASON / NTL / USA","https://s1.ticketm.net/tmimages/venue/maps/flo/24581s.gif","There is an overall 8 ticket limit for this event.",NA
"5","2018-12-26","2018-12-26_08.52.44","Seattle Seahawks vs. Arizona Cardinals","event","vvG1HZ4kEa_AzY",FALSE,"https://www.ticketmaster.com/seattle-seahawks-vs-arizona-cardinals-seattle-washington-12-30-2018/event/0F005469C9645E30","en-us",FALSE,"2018-04-20T00:00:00Z","2018-12-30T21:25:00Z","2018-12-30","13:25:00","2018-12-30T21:25:00Z",FALSE,FALSE,FALSE,FALSE,"onsale","America/Los_Angeles",FALSE,"705","NFL REGULAR SEASON","NFL REGULAR SEASON / NTL / USA","https://s1.ticketm.net/tmimages/venue/maps/sea/77629s.gif","There is an overall 6 ticket limit for this event.",NA
"6","2018-12-26","2018-12-26_08.52.44","Pittsburgh Steelers vs. Cincinnati Bengals","event","1ApZAoEGkeDD_Gi",FALSE,"https://www.ticketmaster.com/pittsburgh-steelers-vs-cincinnati-bengals-pittsburgh-pennsylvania-12-30-2018/event/16005467BBED932C","en-us",FALSE,"2018-05-18T14:00:00Z","2018-12-30T22:25:00Z","2018-12-30","16:25:00","2018-12-30T21:25:00Z",FALSE,FALSE,FALSE,FALSE,"onsale","America/New_York",FALSE,"705","NFL REGULAR SEASON","NFL REGULAR SEASON / NTL / USA","https://s1.ticketm.net/tmimages/venue/maps/ch6/72598s.gif","There is a ten (10) ticket limit total across all 8 regular season Steelers home games.",NA
"7","2018-12-26","2018-12-26_08.52.44","Tennessee Titans vs. Indianapolis Colts","event","G5viZ4kEtDu8M",FALSE,"https://www.ticketmaster.com/tennessee-titans-vs-indianapolis-colts-nashville-tennessee-12-30-2018/event/1B005469E9ECD437","en-us",FALSE,"2018-04-20T00:00:00Z","2018-12-31T02:20:00Z","2018-12-30","19:20:00","2018-12-31T01:20:00Z",FALSE,FALSE,FALSE,FALSE,"onsale","America/Chicago",FALSE,"705","NFL REGULAR SEASON","NFL REGULAR SEASON / NTL / USA","https://s1.ticketm.net/tmimages/venue/maps/scs/72311s.gif","There is an overall 14 ticket limit for this event.",NA
"8","2018-12-26","2018-12-26_08.52.44","Los Angeles Rams NFC Playoffs - NFC Championship Game","event","vvG1IZ493KAv8S",FALSE,"https://www.ticketmaster.com/los-angeles-rams-nfc-playoffs-nfc-los-angeles-california-01-20-2019/event/0A00557493141433","en-us",FALSE,NA,NA,"2019-01-20",NA,NA,FALSE,FALSE,TRUE,TRUE,"offsale","America/Los_Angeles",FALSE,"706","NFL PLAYOFFS & SUPERBOWL","NFL PLAYOFFS & SUPERBOWL / NTL / USA","https://s1.ticketm.net/tmimages/venue/maps/wes/70057s.gif",NA,NA
"9","2018-12-26","2018-12-26_08.52.44","Super Bowl","event","Z7r9jZ1Aefdqz",FALSE,"http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2503778","en-us",FALSE,"1900-01-01T06:00:00Z","2019-02-04T04:59:20Z","2019-02-03",NA,NA,FALSE,FALSE,TRUE,FALSE,"onsale",NA,FALSE,NA,NA,NA,"http://resale.ticketmaster.com.au/akamai-content/graphics/TMResale/2/VenueMaps/12622-1124-3-0-MercedesBenzStadiumSuperBowl.png",NA,NA
"10","2018-12-26","2018-12-26_08.52.44","Oakland Raiders vs. Denver Broncos","event","G5vYZ4kTkC9Yb",FALSE,"https://www.ticketmaster.com/oakland-raiders-vs-denver-broncos-oakland-california-12-24-2018/event/1C00546FC6397C18","en-us",FALSE,"2018-04-20T00:00:00Z","2018-12-25T02:15:00Z","2018-12-24","17:15:00","2018-12-25T01:15:00Z",FALSE,FALSE,FALSE,FALSE,"offsale","America/Los_Angeles",FALSE,"705","NFL REGULAR SEASON","NFL REGULAR SEASON / NTL / USA","https://s1.ticketm.net/tmimages/venue/maps/nca/82218s.gif",NA,"* ADA seats are all seats in rows 1A, 7A, 37A, 38A"
